-50000.00 0.00 55559.75 1530.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
-44973.35 1480.00 1485.5811  1034.4750 34.5656 2.7522
-44973.35 1490.00 1485.6801  1034.5249 34.5676 2.7350
-44973.35 1500.00 1485.7791  1034.5748 34.5696 2.7177
-44973.35 1510.00 1485.8781  1034.6246 34.5715 2.7005
-44973.35 1520.00 1485.9785  1034.6744 34.5734 2.6836
-44973.35 1530.00 1486.0824  1034.7239 34.5751 2.6675
-39946.69 0.00 1511.6877  1024.9990 34.2917 16.8995
-39946.69 10.00 1511.7629  1025.0496 34.2902 16.8687
-39946.69 20.00 1511.6886  1025.1099 34.2865 16.7894
-39946.69 30.00 1511.2293  1025.1944 34.2767 16.5858
-39946.69 40.00 1510.2844  1025.3086 34.2596 16.2278
-39946.69 50.00 1508.9393  1025.4455 34.2372 15.7464
-39946.69 60.00 1507.3942  1025.5910 34.2121 15.2085
-39946.69 70.00 1505.8335  1025.7332 34.1868 14.6732
-39946.69 80.00 1504.3839  1025.8649 34.1625 14.1794
-39946.69 90.00 1503.0960  1025.9832 34.1386 13.7412
-39946.69 100.00 1501.9624  1026.0891 34.1145 13.3547
-39946.69 110.00 1500.9589  1026.1858 34.0913 13.0108
-39946.69 120.00 1500.0401  1026.2777 34.0703 12.6943
-39946.69 130.00 1499.1362  1026.3701 34.0525 12.3837
-39946.69 140.00 1498.2050  1026.4662 34.0387 12.0657
-39946.69 150.00 1497.2726  1026.5721 34.0385 11.7459
-39946.69 160.00 1496.3896  1026.6846 34.0506 11.4380
-39946.69 170.00 1495.5467  1026.8025 34.0728 11.1398
-39946.69 180.00 1494.8333  1026.9249 34.1101 10.8758
-39946.69 190.00 1494.1609  1027.0487 34.1522 10.6227
-39946.69 200.00 1493.5811  1027.1692 34.1968 10.3964
-39946.69 210.00 1493.0845  1027.2867 34.2436 10.1942
-39946.69 220.00 1492.5880  1027.4041 34.2905 9.9920
-39946.69 230.00 1492.1505  1027.5094 34.3273 9.8118
-39946.69 240.00 1491.7350  1027.6102 34.3605 9.6396
-39946.69 250.00 1491.3196  1027.7109 34.3936 9.4675
-39946.69 260.00 1490.9004  1027.8065 34.4208 9.2972
-39946.69 270.00 1490.4705  1027.8869 34.4305 9.1321
-39946.69 280.00 1490.0406  1027.9674 34.4402 8.9671
-39946.69 290.00 1489.6106  1028.0478 34.4499 8.8021
-39946.69 300.00 1489.1805  1028.1281 34.4595 8.6370
-39946.69 310.00 1488.7152  1028.1951 34.4533 8.4714
-39946.69 320.00 1488.2500  1028.2620 34.4470 8.3058
-39946.69 330.00 1487.7848  1028.3290 34.4407 8.1401
-39946.69 340.00 1487.3196  1028.3960 34.4344 7.9745
-39946.69 350.00 1486.8544  1028.4629 34.4281 7.8089
-39946.69 360.00 1486.4363  1028.5232 34.4180 7.6601
-39946.69 370.00 1486.0216  1028.5830 34.4075 7.5126
-39946.69 380.00 1485.6070  1028.6428 34.3971 7.3652
-39946.69 390.00 1485.1923  1028.7026 34.3866 7.2177
-39946.69 400.00 1484.7777  1028.7624 34.3762 7.0702
-39946.69 410.00 1484.3641  1028.8222 34.3658 6.9230
-39946.69 420.00 1484.1025  1028.8773 34.3580 6.8164
-39946.69 430.00 1483.8409  1028.9324 34.3503 6.7099
-39946.69 440.00 1483.5793  1028.9875 34.3425 6.6034
-39946.69 450.00 1483.3177  1029.0426 34.3347 6.4969
-39946.69 460.00 1483.0561  1029.0977 34.3270 6.3904
-39946.69 470.00 1482.7945  1029.1528 34.3192 6.2838
-39946.69 480.00 1482.5694  1029.2074 34.3126 6.1865
-39946.69 490.00 1482.4525  1029.2605 34.3091 6.1164
-39946.69 500.00 1482.3355  1029.3135 34.3057 6.0463
-39946.69 510.00 1482.2185  1029.3666 34.3023 5.9761
-39946.69 520.00 1482.1015  1029.4196 34.2989 5.9060
-39946.69 530.00 1481.9845  1029.4727 34.2954 5.8359
-39946.69 540.00 1481.8675  1029.5257 34.2920 5.7657
-39946.69 550.00 1481.7506  1029.5788 34.2886 5.6956
-39946.69 560.00 1481.6876  1029.6318 34.2875 5.6386
-39946.69 570.00 1481.6448  1029.6848 34.2873 5.5866
-39946.69 580.00 1481.6020  1029.7378 34.2872 5.5345
-39946.69 590.00 1481.5592  1029.7908 34.2870 5.4824
-39946.69 600.00 1481.5164  1029.8438 34.2868 5.4304
-39946.69 610.00 1481.4736  1029.8968 34.2866 5.3783
-39946.69 620.00 1481.4308  1029.9498 34.2864 5.3263
-39946.69 630.00 1481.3880  1030.0028 34.2862 5.2742
-39946.69 640.00 1481.3573  1030.0563 34.2871 5.2250
-39946.69 650.00 1481.3375  1030.1100 34.2889 5.1785
-39946.69 660.00 1481.3177  1030.1638 34.2908 5.1319
-39946.69 670.00 1481.2980  1030.2176 34.2926 5.0853
-39946.69 680.00 1481.2782  1030.2714 34.2944 5.0387
-39946.69 690.00 1481.2584  1030.3252 34.2963 4.9922
-39946.69 700.00 1481.2386  1030.3789 34.2981 4.9456
-39946.69 710.00 1481.2188  1030.4327 34.2999 4.8990
-39946.69 720.00 1481.1991  1030.4865 34.3017 4.8524
-39946.69 730.00 1481.1858  1030.5409 34.3047 4.8074
-39946.69 740.00 1481.1746  1030.5955 34.3080 4.7629
-39946.69 750.00 1481.1635  1030.6501 34.3112 4.7183
-39946.69 760.00 1481.1523  1030.7047 34.3145 4.6738
-39946.69 770.00 1481.1411  1030.7593 34.3178 4.6293
-39946.69 780.00 1481.1299  1030.8139 34.3211 4.5848
-39946.69 790.00 1481.1188  1030.8685 34.3244 4.5402
-39946.69 800.00 1481.1076  1030.9231 34.3277 4.4957
-39946.69 810.00 1481.0964  1030.9777 34.3310 4.4512
-39946.69 820.00 1481.0947  1031.0325 34.3349 4.4089
-39946.69 830.00 1481.1006  1031.0874 34.3393 4.3685
-39946.69 840.00 1481.1065  1031.1424 34.3437 4.3281
-39946.69 850.00 1481.1125  1031.1973 34.3482 4.2877
-39946.69 860.00 1481.1184  1031.2522 34.3526 4.2472
-39946.69 870.00 1481.1243  1031.3071 34.3570 4.2068
-39946.69 880.00 1481.1303  1031.3621 34.3615 4.1664
-39946.69 890.00 1481.1362  1031.4170 34.3659 4.1260
-39946.69 900.00 1481.1421  1031.4719 34.3703 4.0856
-39946.69 910.00 1481.1489  1031.5268 34.3748 4.0454
-39946.69 920.00 1481.1861  1031.5810 34.3796 4.0125
-39946.69 930.00 1481.2234  1031.6353 34.3844 3.9797
-39946.69 940.00 1481.2606  1031.6895 34.3892 3.9469
-39946.69 950.00 1481.2979  1031.7438 34.3941 3.9140
-39946.69 960.00 1481.3351  1031.7980 34.3989 3.8812
-39946.69 970.00 1481.3723  1031.8522 34.4037 3.8484
-39946.69 980.00 1481.4096  1031.9065 34.4085 3.8155
-39946.69 990.00 1481.4468  1031.9607 34.4134 3.7827
-39946.69 1000.00 1481.4841  1032.0149 34.4182 3.7498
-39946.69 1010.00 1481.5297  1032.0688 34.4229 3.7191
-39946.69 1020.00 1481.5964  1032.1217 34.4272 3.6935
-39946.69 1030.00 1481.6631  1032.1746 34.4316 3.6679
-39946.69 1040.00 1481.7299  1032.2275 34.4359 3.6423
-39946.69 1050.00 1481.7966  1032.2805 34.4403 3.6167
-39946.69 1060.00 1481.8633  1032.3334 34.4446 3.5911
-39946.69 1070.00 1481.9300  1032.3863 34.4489 3.5655
-39946.69 1080.00 1481.9967  1032.4392 34.4533 3.5399
-39946.69 1090.00 1482.0634  1032.4921 34.4576 3.5143
-39946.69 1100.00 1482.1302  1032.5451 34.4620 3.4887
-39946.69 1110.00 1482.2035  1032.5975 34.4660 3.4648
-39946.69 1120.00 1482.2864  1032.6492 34.4695 3.4433
-39946.69 1130.00 1482.3693  1032.7009 34.4730 3.4218
-39946.69 1140.00 1482.4522  1032.7527 34.4766 3.4003
-39946.69 1150.00 1482.5351  1032.8044 34.4801 3.3789
-39946.69 1160.00 1482.6179  1032.8561 34.4836 3.3574
-39946.69 1170.00 1482.7008  1032.9078 34.4872 3.3359
