-50000.00 0.00 55559.75 2150.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
-50000.00 1330.00 1484.0898  1033.7232 34.5314 3.0107
-50000.00 1340.00 1484.1867  1033.7736 34.5338 2.9928
-50000.00 1350.00 1484.2835  1033.8239 34.5362 2.9749
-50000.00 1360.00 1484.3803  1033.8742 34.5386 2.9570
-50000.00 1370.00 1484.4771  1033.9245 34.5410 2.9392
-50000.00 1380.00 1484.5739  1033.9748 34.5434 2.9213
-50000.00 1390.00 1484.6708  1034.0252 34.5458 2.9034
-50000.00 1400.00 1484.7676  1034.0755 34.5482 2.8856
-50000.00 1410.00 1484.8647  1034.1258 34.5505 2.8678
-50000.00 1420.00 1484.9648  1034.1757 34.5525 2.8508
-50000.00 1430.00 1485.0649  1034.2255 34.5546 2.8338
-50000.00 1440.00 1485.1651  1034.2754 34.5566 2.8168
-50000.00 1450.00 1485.2652  1034.3253 34.5586 2.7998
-50000.00 1460.00 1485.3653  1034.3752 34.5606 2.7828
-50000.00 1470.00 1485.4655  1034.4251 34.5626 2.7658
-50000.00 1480.00 1485.5656  1034.4749 34.5647 2.7488
-50000.00 1490.00 1485.6657  1034.5248 34.5667 2.7318
-50000.00 1500.00 1485.7658  1034.5747 34.5687 2.7148
-50000.00 1510.00 1485.8660  1034.6246 34.5707 2.6978
-50000.00 1520.00 1485.9674  1034.6743 34.5727 2.6811
-50000.00 1530.00 1486.0719  1034.7238 34.5744 2.6652
-50000.00 1540.00 1486.1765  1034.7733 34.5761 2.6493
-50000.00 1550.00 1486.2811  1034.8227 34.5778 2.6333
-50000.00 1560.00 1486.3856  1034.8722 34.5796 2.6174
-50000.00 1570.00 1486.4902  1034.9217 34.5813 2.6015
-50000.00 1580.00 1486.5948  1034.9711 34.5830 2.5856
-50000.00 1590.00 1486.6993  1035.0206 34.5847 2.5697
-50000.00 1600.00 1486.8039  1035.0701 34.5864 2.5538
-50000.00 1610.00 1486.9084  1035.1195 34.5882 2.5379
-50000.00 1620.00 1487.0130  1035.1690 34.5899 2.5219
-50000.00 1630.00 1487.1176  1035.2184 34.5916 2.5060
