-50000.00 0.00 55559.75 4620.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
-19840.07 1600.00 1486.9712  1035.0668 34.6009 2.5961
-19840.07 1610.00 1487.0603  1035.1162 34.6021 2.5769
-19840.07 1620.00 1487.1494  1035.1656 34.6032 2.5576
-19840.07 1630.00 1487.2385  1035.2150 34.6044 2.5384
-19840.07 1640.00 1487.3367  1035.2640 34.6055 2.5212
-19840.07 1650.00 1487.4414  1035.3128 34.6065 2.5056
-19840.07 1660.00 1487.5461  1035.3616 34.6076 2.4899
-19840.07 1670.00 1487.6508  1035.4104 34.6086 2.4742
-19840.07 1680.00 1487.7555  1035.4592 34.6096 2.4586
-19840.07 1690.00 1487.8602  1035.5080 34.6107 2.4429
-19840.07 1700.00 1487.9649  1035.5568 34.6117 2.4272
-19840.07 1710.00 1488.0696  1035.6056 34.6128 2.4116
-19840.07 1720.00 1488.1743  1035.6544 34.6138 2.3959
-19840.07 1730.00 1488.2790  1035.7032 34.6148 2.3802
-19840.07 1740.00 1488.3837  1035.7520 34.6159 2.3646
-19840.07 1750.00 1488.4884  1035.8008 34.6169 2.3489
-19840.07 1760.00 1488.5931  1035.8496 34.6180 2.3333
-19840.07 1770.00 1488.7049  1035.8981 34.6189 2.3192
-19840.07 1780.00 1488.8241  1035.9463 34.6198 2.3068
-19840.07 1790.00 1488.9433  1035.9945 34.6207 2.2944
-19840.07 1800.00 1489.0625  1036.0427 34.6216 2.2820
-19840.07 1810.00 1489.1817  1036.0909 34.6225 2.2696
-19840.07 1820.00 1489.3009  1036.1391 34.6234 2.2572
-19840.07 1830.00 1489.4201  1036.1873 34.6242 2.2449
-19840.07 1840.00 1489.5393  1036.2355 34.6251 2.2325
-19840.07 1850.00 1489.6585  1036.2837 34.6260 2.2201
-19840.07 1860.00 1489.7777  1036.3319 34.6269 2.2077
-19840.07 1870.00 1489.8969  1036.3801 34.6278 2.1953
-19840.07 1880.00 1490.0161  1036.4283 34.6287 2.1829
-19840.07 1890.00 1490.1353  1036.4765 34.6296 2.1705
-19840.07 1900.00 1490.2545  1036.5247 34.6305 2.1581
-19840.07 1910.00 1490.3737  1036.5729 34.6313 2.1457
-19840.07 1920.00 1490.4999  1036.6208 34.6321 2.1349
-19840.07 1930.00 1490.6312  1036.6685 34.6329 2.1252
-19840.07 1940.00 1490.7624  1036.7162 34.6336 2.1155
-19840.07 1950.00 1490.8937  1036.7638 34.6343 2.1057
-19840.07 1960.00 1491.0249  1036.8115 34.6350 2.0960
-19840.07 1970.00 1491.1562  1036.8592 34.6358 2.0863
-19840.07 1980.00 1491.2874  1036.9069 34.6365 2.0766
-19840.07 1990.00 1491.4187  1036.9545 34.6372 2.0668
-19840.07 2000.00 1491.5499  1037.0022 34.6379 2.0571
-19840.07 2010.00 1491.6811  1037.0499 34.6387 2.0474
-19840.07 2020.00 1491.8124  1037.0975 34.6394 2.0377
-19840.07 2030.00 1491.9436  1037.1452 34.6401 2.0279
-19840.07 2040.00 1492.0749  1037.1929 34.6408 2.0182
-19840.07 2050.00 1492.2061  1037.2405 34.6416 2.0085
-19840.07 2060.00 1492.3374  1037.2882 34.6423 1.9988
-19840.07 2070.00 1492.4686  1037.3359 34.6430 1.9891
-19840.07 2080.00 1492.5999  1037.3835 34.6437 1.9793
-19840.07 2090.00 1492.7366  1037.4309 34.6444 1.9708
-19840.07 2100.00 1492.8770  1037.4781 34.6449 1.9630
-19840.07 2110.00 1493.0174  1037.5253 34.6455 1.9553
-19840.07 2120.00 1493.1578  1037.5725 34.6461 1.9475
-19840.07 2130.00 1493.2983  1037.6197 34.6466 1.9398
-19840.07 2140.00 1493.4387  1037.6670 34.6472 1.9320
-19840.07 2150.00 1493.5791  1037.7142 34.6478 1.9242
-19840.07 2160.00 1493.7195  1037.7614 34.6483 1.9165
-19840.07 2170.00 1493.8599  1037.8086 34.6489 1.9087
-19840.07 2180.00 1494.0003  1037.8558 34.6495 1.9010
-19840.07 2190.00 1494.1408  1037.9030 34.6500 1.8932
-19840.07 2200.00 1494.2812  1037.9502 34.6506 1.8855
-19840.07 2210.00 1494.4216  1037.9974 34.6512 1.8777
-19840.07 2220.00 1494.5620  1038.0446 34.6517 1.8699
-19840.07 2230.00 1494.7024  1038.0918 34.6523 1.8622
-19840.07 2240.00 1494.8428  1038.1390 34.6529 1.8544
-19840.07 2250.00 1494.9832  1038.1862 34.6534 1.8467
-19840.07 2260.00 1495.1237  1038.2334 34.6540 1.8389
-19840.07 2270.00 1495.2641  1038.2806 34.6546 1.8312
-19840.07 2280.00 1495.4071  1038.3276 34.6551 1.8239
-19840.07 2290.00 1495.5543  1038.3744 34.6555 1.8176
-19840.07 2300.00 1495.7015  1038.4212 34.6560 1.8112
-19840.07 2310.00 1495.8487  1038.4680 34.6564 1.8048
-19840.07 2320.00 1495.9959  1038.5148 34.6568 1.7985
-19840.07 2330.00 1496.1431  1038.5616 34.6572 1.7921
-19840.07 2340.00 1496.2904  1038.6084 34.6577 1.7858
-19840.07 2350.00 1496.4376  1038.6552 34.6581 1.7794
-19840.07 2360.00 1496.5848  1038.7020 34.6585 1.7730
-19840.07 2370.00 1496.7320  1038.7488 34.6590 1.7667
-19840.07 2380.00 1496.8792  1038.7956 34.6594 1.7603
-19840.07 2390.00 1497.0264  1038.8424 34.6598 1.7539
-19840.07 2400.00 1497.1737  1038.8892 34.6603 1.7476
-19840.07 2410.00 1497.3209  1038.9360 34.6607 1.7412
-19840.07 2420.00 1497.4681  1038.9828 34.6611 1.7348
-19840.07 2430.00 1497.6153  1039.0296 34.6615 1.7285
-19840.07 2440.00 1497.7625  1039.0764 34.6620 1.7221
-19840.07 2450.00 1497.9097  1039.1232 34.6624 1.7157
-19840.07 2460.00 1498.0569  1039.1700 34.6628 1.7094
-19840.07 2470.00 1498.2042  1039.2168 34.6633 1.7030
-19840.07 2480.00 1498.3514  1039.2636 34.6637 1.6966
-19840.07 2490.00 1498.4986  1039.3104 34.6641 1.6903
-19840.07 2500.00 1498.6507  1039.3569 34.6645 1.6849
-19840.07 2510.00 1498.8034  1039.4033 34.6648 1.6796
-19840.07 2520.00 1498.9562  1039.4498 34.6651 1.6743
-19840.07 2530.00 1499.1090  1039.4962 34.6654 1.6690
-19840.07 2540.00 1499.2617  1039.5426 34.6657 1.6637
-19840.07 2550.00 1499.4145  1039.5891 34.6660 1.6584
-19840.07 2560.00 1499.5673  1039.6355 34.6664 1.6531
-19840.07 2570.00 1499.7200  1039.6820 34.6667 1.6478
-19840.07 2580.00 1499.8728  1039.7284 34.6670 1.6425
-19840.07 2590.00 1500.0256  1039.7748 34.6673 1.6372
-19840.07 2600.00 1500.1784  1039.8213 34.6676 1.6319
-19840.07 2610.00 1500.3311  1039.8677 34.6679 1.6266
-19840.07 2620.00 1500.4839  1039.9141 34.6683 1.6213
-19840.07 2630.00 1500.6367  1039.9606 34.6686 1.6161
-19840.07 2640.00 1500.7894  1040.0070 34.6689 1.6108
-19840.07 2650.00 1500.9422  1040.0534 34.6692 1.6055
-19840.07 2660.00 1501.0950  1040.0999 34.6695 1.6002
-19840.07 2670.00 1501.2477  1040.1463 34.6698 1.5949
-19840.07 2680.00 1501.4005  1040.1927 34.6702 1.5896
-19840.07 2690.00 1501.5533  1040.2392 34.6705 1.5843
-19840.07 2700.00 1501.7060  1040.2856 34.6708 1.5790
-19840.07 2710.00 1501.8588  1040.3321 34.6711 1.5737
-19840.07 2720.00 1502.0116  1040.3785 34.6714 1.5684
-19840.07 2730.00 1502.1647  1040.4249 34.6717 1.5632
-19840.07 2740.00 1502.3221  1040.4710 34.6720 1.5587
-19840.07 2750.00 1502.4796  1040.5171 34.6722 1.5543
-19840.07 2760.00 1502.6370  1040.5632 34.6724 1.5498
-19840.07 2770.00 1502.7944  1040.6093 34.6727 1.5454
-19840.07 2780.00 1502.9519  1040.6554 34.6729 1.5409
-19840.07 2790.00 1503.1093  1040.7015 34.6732 1.5364
-19840.07 2800.00 1503.2667  1040.7476 34.6734 1.5320
-19840.07 2810.00 1503.4242  1040.7937 34.6736 1.5275
-19840.07 2820.00 1503.5816  1040.8398 34.6739 1.5231
-19840.07 2830.00 1503.7390  1040.8859 34.6741 1.5186
-19840.07 2840.00 1503.8965  1040.9321 34.6743 1.5142
-19840.07 2850.00 1504.0539  1040.9782 34.6746 1.5097
-19840.07 2860.00 1504.2113  1041.0243 34.6748 1.5052
-19840.07 2870.00 1504.3687  1041.0704 34.6750 1.5008
-19840.07 2880.00 1504.5262  1041.1165 34.6753 1.4963
-19840.07 2890.00 1504.6836  1041.1626 34.6755 1.4919
-19840.07 2900.00 1504.8410  1041.2087 34.6757 1.4874
-19840.07 2910.00 1504.9985  1041.2548 34.6760 1.4830
-19840.07 2920.00 1505.1559  1041.3009 34.6762 1.4785
-19840.07 2930.00 1505.3133  1041.3470 34.6765 1.4740
-19840.07 2940.00 1505.4708  1041.3931 34.6767 1.4696
-19840.07 2950.00 1505.6282  1041.4392 34.6769 1.4651
-19840.07 2960.00 1505.7856  1041.4853 34.6772 1.4607
-19840.07 2970.00 1505.9431  1041.5314 34.6774 1.4562
-19840.07 2980.00 1506.1005  1041.5775 34.6776 1.4518
-19840.07 2990.00 1506.2579  1041.6236 34.6779 1.4473
-19840.07 3000.00 1506.4187  1041.6695 34.6781 1.4434
-19840.07 3010.00 1506.5796  1041.7153 34.6783 1.4394
-19840.07 3020.00 1506.7405  1041.7611 34.6785 1.4355
-19840.07 3030.00 1506.9013  1041.8069 34.6786 1.4316
-19840.07 3040.00 1507.0622  1041.8528 34.6788 1.4276
-19840.07 3050.00 1507.2231  1041.8986 34.6790 1.4237
-19840.07 3060.00 1507.3839  1041.9444 34.6792 1.4198
-19840.07 3070.00 1507.5448  1041.9902 34.6794 1.4158
-19840.07 3080.00 1507.7057  1042.0361 34.6796 1.4119
-19840.07 3090.00 1507.8665  1042.0819 34.6798 1.4080
-19840.07 3100.00 1508.0274  1042.1277 34.6800 1.4041
-19840.07 3110.00 1508.1883  1042.1735 34.6802 1.4001
-19840.07 3120.00 1508.3491  1042.2194 34.6804 1.3962
-19840.07 3130.00 1508.5100  1042.2652 34.6806 1.3923
-19840.07 3140.00 1508.6709  1042.3110 34.6808 1.3883
-19840.07 3150.00 1508.8317  1042.3568 34.6809 1.3844
-19840.07 3160.00 1508.9926  1042.4027 34.6811 1.3805
-19840.07 3170.00 1509.1535  1042.4485 34.6813 1.3765
-19840.07 3180.00 1509.3143  1042.4943 34.6815 1.3726
-19840.07 3190.00 1509.4752  1042.5401 34.6817 1.3687
-19840.07 3200.00 1509.6361  1042.5860 34.6819 1.3647
-19840.07 3210.00 1509.7969  1042.6318 34.6821 1.3608
-19840.07 3220.00 1509.9578  1042.6776 34.6823 1.3569
-19840.07 3230.00 1510.1187  1042.7234 34.6825 1.3529
-19840.07 3240.00 1510.2795  1042.7693 34.6827 1.3490
-19840.07 3250.00 1510.4404  1042.8151 34.6829 1.3451
-19840.07 3260.00 1510.6013  1042.8609 34.6831 1.3412
-19840.07 3270.00 1510.7621  1042.9067 34.6833 1.3372
-19840.07 3280.00 1510.9242  1042.9524 34.6834 1.3334
-19840.07 3290.00 1511.0872  1042.9980 34.6836 1.3297
-19840.07 3300.00 1511.2503  1043.0436 34.6838 1.3260
-19840.07 3310.00 1511.4133  1043.0893 34.6840 1.3222
-19840.07 3320.00 1511.5763  1043.1349 34.6842 1.3185
-19840.07 3330.00 1511.7393  1043.1805 34.6844 1.3148
-19840.07 3340.00 1511.9023  1043.2261 34.6846 1.3111
-19840.07 3350.00 1512.0653  1043.2717 34.6848 1.3074
-19840.07 3360.00 1512.2284  1043.3173 34.6849 1.3036
-19840.07 3370.00 1512.3914  1043.3629 34.6851 1.2999
-19840.07 3380.00 1512.5544  1043.4085 34.6853 1.2962
-19840.07 3390.00 1512.7174  1043.4541 34.6855 1.2925
-19840.07 3400.00 1512.8804  1043.4997 34.6857 1.2887
-19840.07 3410.00 1513.0435  1043.5453 34.6859 1.2850
-19840.07 3420.00 1513.2065  1043.5909 34.6861 1.2813
-19840.07 3430.00 1513.3695  1043.6365 34.6862 1.2776
-19840.07 3440.00 1513.5325  1043.6821 34.6864 1.2738
-19840.07 3450.00 1513.6955  1043.7278 34.6866 1.2701
-19840.07 3460.00 1513.8585  1043.7734 34.6868 1.2664
-19840.07 3470.00 1514.0216  1043.8190 34.6870 1.2627
-19840.07 3480.00 1514.1846  1043.8646 34.6872 1.2590
-19840.07 3490.00 1514.3476  1043.9102 34.6874 1.2552
-19840.07 3500.00 1514.5106  1043.9558 34.6876 1.2515
-19840.07 3510.00 1514.6736  1044.0014 34.6877 1.2478
-19840.07 3520.00 1514.8366  1044.0470 34.6879 1.2441
-19840.07 3530.00 1514.9997  1044.0926 34.6881 1.2403
-19840.07 3540.00 1515.1627  1044.1382 34.6883 1.2366
-19840.07 3550.00 1515.3257  1044.1838 34.6885 1.2329
-19840.07 3560.00 1515.4887  1044.2294 34.6887 1.2292
-19840.07 3570.00 1515.6517  1044.2750 34.6889 1.2254
-19840.07 3580.00 1515.8147  1044.3206 34.6890 1.2217
-19840.07 3590.00 1515.9792  1044.3661 34.6892 1.2181
-19840.07 3600.00 1516.1438  1044.4115 34.6895 1.2144
-19840.07 3610.00 1516.3084  1044.4569 34.6897 1.2107
-19840.07 3620.00 1516.4730  1044.5023 34.6899 1.2071
-19840.07 3630.00 1516.6376  1044.5477 34.6901 1.2034
-19840.07 3640.00 1516.8023  1044.5931 34.6903 1.1998
-19840.07 3650.00 1516.9669  1044.6386 34.6905 1.1961
-19840.07 3660.00 1517.1315  1044.6840 34.6907 1.1924
-19840.07 3670.00 1517.2961  1044.7294 34.6909 1.1888
-19840.07 3680.00 1517.4607  1044.7748 34.6911 1.1851
-19840.07 3690.00 1517.6253  1044.8202 34.6913 1.1814
-19840.07 3700.00 1517.7900  1044.8656 34.6915 1.1778
-19840.07 3710.00 1517.9546  1044.9110 34.6917 1.1741
-19840.07 3720.00 1518.1192  1044.9564 34.6919 1.1705
-19840.07 3730.00 1518.2838  1045.0019 34.6921 1.1668
-19840.07 3740.00 1518.4484  1045.0473 34.6923 1.1631
-19840.07 3750.00 1518.6131  1045.0927 34.6925 1.1595
-19840.07 3760.00 1518.7777  1045.1381 34.6927 1.1558
-19840.07 3770.00 1518.9423  1045.1835 34.6929 1.1522
-19840.07 3780.00 1519.1069  1045.2289 34.6931 1.1485
-19840.07 3790.00 1519.2715  1045.2743 34.6933 1.1448
-19840.07 3800.00 1519.4362  1045.3197 34.6935 1.1412
-19840.07 3810.00 1519.6008  1045.3652 34.6937 1.1375
-19840.07 3820.00 1519.7654  1045.4106 34.6939 1.1339
-19840.07 3830.00 1519.9300  1045.4560 34.6941 1.1302
-19840.07 3840.00 1520.0946  1045.5014 34.6943 1.1265
-19840.07 3850.00 1520.2592  1045.5468 34.6945 1.1229
-19840.07 3860.00 1520.4239  1045.5922 34.6947 1.1192
-19840.07 3870.00 1520.5885  1045.6376 34.6949 1.1156
-19840.07 3880.00 1520.7531  1045.6830 34.6951 1.1119
-19840.07 3890.00 1520.9177  1045.7285 34.6953 1.1082
-19840.07 3900.00 1521.0823  1045.7739 34.6955 1.1046
-19840.07 3910.00 1521.2470  1045.8193 34.6957 1.1009
-19840.07 3920.00 1521.4122  1045.8646 34.6960 1.0971
-19840.07 3930.00 1521.5776  1045.9098 34.6962 1.0933
-19840.07 3940.00 1521.7429  1045.9550 34.6964 1.0895
-19840.07 3950.00 1521.9083  1046.0003 34.6967 1.0857
-19840.07 3960.00 1522.0736  1046.0455 34.6969 1.0819
-19840.07 3970.00 1522.2390  1046.0908 34.6971 1.0781
-19840.07 3980.00 1522.4043  1046.1360 34.6974 1.0743
-19840.07 3990.00 1522.5697  1046.1813 34.6976 1.0705
-19840.07 4000.00 1522.7350  1046.2265 34.6978 1.0666
-19840.07 4010.00 1522.9004  1046.2718 34.6980 1.0628
-19840.07 4020.00 1523.0657  1046.3170 34.6983 1.0590
-19840.07 4030.00 1523.2311  1046.3622 34.6985 1.0552
-19840.07 4040.00 1523.3964  1046.4075 34.6987 1.0514
-19840.07 4050.00 1523.5618  1046.4527 34.6990 1.0476
-19840.07 4060.00 1523.7271  1046.4980 34.6992 1.0438
-19840.07 4070.00 1523.8925  1046.5432 34.6994 1.0400
-19840.07 4080.00 1524.0578  1046.5885 34.6996 1.0362
-19840.07 4090.00 1524.2231  1046.6337 34.6999 1.0324
-19840.07 4100.00 1524.3885  1046.6790 34.7001 1.0286
-19840.07 4110.00 1524.5538  1046.7242 34.7003 1.0248
-19840.07 4120.00 1524.7192  1046.7695 34.7006 1.0209
-19840.07 4130.00 1524.8845  1046.8147 34.7008 1.0171
-19840.07 4140.00 1525.0499  1046.8599 34.7010 1.0133
-19840.07 4150.00 1525.2152  1046.9052 34.7013 1.0095
-19840.07 4160.00 1525.3806  1046.9504 34.7015 1.0057
-19840.07 4170.00 1525.5459  1046.9957 34.7017 1.0019
-19840.07 4180.00 1525.7113  1047.0409 34.7019 0.9981
-19840.07 4190.00 1525.8766  1047.0862 34.7022 0.9943
-19840.07 4200.00 1526.0420  1047.1314 34.7024 0.9905
-19840.07 4210.00 1526.2073  1047.1767 34.7026 0.9867
-19840.07 4220.00 1526.3727  1047.2219 34.7029 0.9829
-19840.07 4230.00 1526.5380  1047.2671 34.7031 0.9790
-19840.07 4240.00 1526.7034  1047.3124 34.7033 0.9752
-19840.07 4250.00 1526.8687  1047.3576 34.7035 0.9714
-19840.07 4260.00 1527.0341  1047.4029 34.7038 0.9676
-19840.07 4270.00 1527.2040  1047.4478 34.7040 0.9647
-19840.07 4280.00 1527.3774  1047.4925 34.7041 0.9624
-19840.07 4290.00 1527.5508  1047.5372 34.7042 0.9601
-19840.07 4300.00 1527.7242  1047.5818 34.7044 0.9578
-19840.07 4310.00 1527.8976  1047.6265 34.7045 0.9554
-19840.07 4320.00 1528.0710  1047.6712 34.7047 0.9531
-19840.07 4330.00 1528.2444  1047.7159 34.7048 0.9508
-19840.07 4340.00 1528.4178  1047.7605 34.7050 0.9485
-19840.07 4350.00 1528.5912  1047.8052 34.7051 0.9462
-19840.07 4360.00 1528.7645  1047.8499 34.7053 0.9439
-19840.07 4370.00 1528.9379  1047.8946 34.7054 0.9416
-19840.07 4380.00 1529.1113  1047.9393 34.7056 0.9393
-19840.07 4390.00 1529.2847  1047.9839 34.7057 0.9370
-19840.07 4400.00 1529.4581  1048.0286 34.7058 0.9347
-19840.07 4410.00 1529.6315  1048.0733 34.7060 0.9324
-19840.07 4420.00 1529.8049  1048.1180 34.7061 0.9301
-19840.07 4430.00 1529.9783  1048.1626 34.7063 0.9277
-19840.07 4440.00 1530.1516  1048.2073 34.7064 0.9254
-19840.07 4450.00 1530.3250  1048.2520 34.7066 0.9231
-19840.07 4460.00 1530.4984  1048.2967 34.7067 0.9208
-19840.07 4470.00 1530.6718  1048.3414 34.7069 0.9185
-19840.07 4480.00 1530.8452  1048.3860 34.7070 0.9162
-19840.07 4490.00 1531.0186  1048.4307 34.7072 0.9139
-19840.07 4500.00 1531.1920  1048.4754 34.7073 0.9116
-19840.07 4510.00 1531.3654  1048.5201 34.7074 0.9093
-19840.07 4520.00 1531.5387  1048.5647 34.7076 0.9070
-19840.07 4530.00 1531.7121  1048.6094 34.7077 0.9047
-19840.07 4540.00 1531.8855  1048.6541 34.7079 0.9024
-19840.07 4550.00 1532.0589  1048.6988 34.7080 0.9000
-19840.07 4560.00 1532.2323  1048.7435 34.7082 0.8977
-19840.07 4570.00 1532.4057  1048.7881 34.7083 0.8954
-19840.07 4580.00 1532.5791  1048.8328 34.7085 0.8931
-19840.07 4590.00 1532.7525  1048.8775 34.7086 0.8908
-19840.07 4600.00 1532.9258  1048.9222 34.7088 0.8885
-19840.07 4610.00 1533.0992  1048.9668 34.7089 0.8862
-19840.07 4620.00 1533.2726  1049.0115 34.7090 0.8839
-14813.42 0.00 1542.9793  1022.8876 35.8212 28.3806
-14813.42 10.00 1543.1218  1022.9361 35.8224 28.3669
-14813.42 20.00 1543.2558  1022.9885 35.8265 28.3477
-14813.42 30.00 1543.3419  1023.0562 35.8392 28.3019
-14813.42 40.00 1543.3313  1023.1497 35.8638 28.2050
-14813.42 50.00 1543.2029  1023.2721 35.9004 28.0479
-14813.42 60.00 1542.9745  1023.4202 35.9491 27.8394
-14813.42 70.00 1542.6651  1023.5915 36.0107 27.5886
-14813.42 80.00 1542.2507  1023.7873 36.0833 27.2867
-14813.42 90.00 1541.6797  1024.0103 36.1626 26.9142
-14813.42 100.00 1540.8918  1024.2609 36.2414 26.4507
-14813.42 110.00 1539.8727  1024.5261 36.3055 25.9008
-14813.42 120.00 1538.7288  1024.7770 36.3409 25.3204
-14813.42 130.00 1537.6176  1024.9909 36.3456 24.7780
-14813.42 140.00 1536.6193  1025.1659 36.3278 24.3011
-14813.42 150.00 1535.7241  1025.3052 36.2896 23.8846
-14813.42 160.00 1534.7797  1025.4368 36.2392 23.4589
-14813.42 170.00 1533.7953  1025.5622 36.1791 23.0258
-14813.42 180.00 1532.5439  1025.6928 36.0975 22.5088
-14813.42 190.00 1531.2082  1025.8250 36.0092 21.9654
-14813.42 200.00 1529.5915  1025.9675 35.9085 21.3367
-14813.42 210.00 1527.7219  1026.1190 35.7968 20.6313
-14813.42 220.00 1525.8523  1026.2706 35.6850 19.9260
-14813.42 230.00 1523.7133  1026.4288 35.5754 19.1604
-14813.42 240.00 1521.4742  1026.5895 35.4665 18.3725
-14813.42 250.00 1519.2350  1026.7502 35.3577 17.5845
-14813.42 260.00 1517.0158  1026.9073 35.2562 16.8154
-14813.42 270.00 1514.8554  1027.0534 35.1766 16.1019
-14813.42 280.00 1512.6950  1027.1996 35.0970 15.3884
-14813.42 290.00 1510.5345  1027.3458 35.0174 14.6748
-14813.42 300.00 1508.3774  1027.4918 34.9380 13.9626
-14813.42 310.00 1506.6879  1027.6102 34.8934 13.4283
-14813.42 320.00 1504.9984  1027.7287 34.8488 12.8941
-14813.42 330.00 1503.3089  1027.8471 34.8042 12.3599
-14813.42 340.00 1501.6194  1027.9656 34.7596 11.8257
-14813.42 350.00 1499.9299  1028.0840 34.7150 11.2915
-14813.42 360.00 1498.8288  1028.1770 34.6945 10.9424
-14813.42 370.00 1497.7705  1028.2682 34.6757 10.6069
-14813.42 380.00 1496.7123  1028.3594 34.6570 10.2713
-14813.42 390.00 1495.6540  1028.4507 34.6382 9.9357
-14813.42 400.00 1494.5958  1028.5419 34.6195 9.6001
-14813.42 410.00 1493.5412  1028.6329 34.6008 9.2656
-14813.42 420.00 1493.0101  1028.7044 34.5950 9.0804
-14813.42 430.00 1492.4789  1028.7759 34.5891 8.8953
-14813.42 440.00 1491.9477  1028.8474 34.5832 8.7101
-14813.42 450.00 1491.4166  1028.9189 34.5773 8.5249
-14813.42 460.00 1490.8854  1028.9904 34.5715 8.3397
-14813.42 470.00 1490.3543  1029.0620 34.5656 8.1545
-14813.42 480.00 1489.8858  1029.1310 34.5605 7.9867
-14813.42 490.00 1489.6026  1029.1927 34.5578 7.8700
-14813.42 500.00 1489.3193  1029.2545 34.5552 7.7533
-14813.42 510.00 1489.0360  1029.3162 34.5525 7.6366
-14813.42 520.00 1488.7527  1029.3779 34.5498 7.5199
-14813.42 530.00 1488.4694  1029.4397 34.5471 7.4031
-14813.42 540.00 1488.1861  1029.5014 34.5444 7.2864
-14813.42 550.00 1487.9029  1029.5632 34.5417 7.1697
-14813.42 560.00 1487.6866  1029.6221 34.5395 7.0717
-14813.42 570.00 1487.4953  1029.6799 34.5376 6.9806
-14813.42 580.00 1487.3040  1029.7377 34.5356 6.8895
-14813.42 590.00 1487.1127  1029.7955 34.5337 6.7984
-14813.42 600.00 1486.9213  1029.8534 34.5317 6.7072
-14813.42 610.00 1486.7300  1029.9112 34.5297 6.6161
-14813.42 620.00 1486.5387  1029.9690 34.5278 6.5250
-14813.42 630.00 1486.3474  1030.0269 34.5258 6.4339
-14813.42 640.00 1486.1892  1030.0836 34.5243 6.3518
-14813.42 650.00 1486.0608  1030.1392 34.5232 6.2777
-14813.42 660.00 1485.9324  1030.1949 34.5221 6.2037
-14813.42 670.00 1485.8040  1030.2505 34.5210 6.1297
-14813.42 680.00 1485.6756  1030.3062 34.5200 6.0556
-14813.42 690.00 1485.5472  1030.3619 34.5189 5.9816
-14813.42 700.00 1485.4188  1030.4175 34.5178 5.9075
-14813.42 710.00 1485.2904  1030.4732 34.5167 5.8335
-14813.42 720.00 1485.1620  1030.5288 34.5156 5.7595
-14813.42 730.00 1485.0735  1030.5834 34.5152 5.6959
-14813.42 740.00 1484.9975  1030.6376 34.5150 5.6356
-14813.42 750.00 1484.9216  1030.6918 34.5148 5.5753
-14813.42 760.00 1484.8457  1030.7460 34.5146 5.5150
-14813.42 770.00 1484.7698  1030.8002 34.5144 5.4547
-14813.42 780.00 1484.6938  1030.8544 34.5142 5.3944
-14813.42 790.00 1484.6179  1030.9086 34.5140 5.3341
-14813.42 800.00 1484.5420  1030.9628 34.5138 5.2738
-14813.42 810.00 1484.4661  1031.0170 34.5136 5.2135
-14813.42 820.00 1484.4122  1031.0707 34.5138 5.1589
-14813.42 830.00 1484.3763  1031.1239 34.5143 5.1088
-14813.42 840.00 1484.3403  1031.1771 34.5148 5.0588
-14813.42 850.00 1484.3043  1031.2303 34.5153 5.0087
-14813.42 860.00 1484.2683  1031.2835 34.5158 4.9587
-14813.42 870.00 1484.2324  1031.3367 34.5163 4.9086
-14813.42 880.00 1484.1964  1031.3899 34.5168 4.8586
-14813.42 890.00 1484.1604  1031.4432 34.5173 4.8085
-14813.42 900.00 1484.1244  1031.4964 34.5178 4.7585
-14813.42 910.00 1484.0892  1031.5496 34.5184 4.7086
-14813.42 920.00 1484.0809  1031.6021 34.5193 4.6656
-14813.42 930.00 1484.0727  1031.6546 34.5202 4.6226
-14813.42 940.00 1484.0644  1031.7071 34.5212 4.5796
-14813.42 950.00 1484.0562  1031.7596 34.5221 4.5366
-14813.42 960.00 1484.0479  1031.8121 34.5230 4.4935
-14813.42 970.00 1484.0396  1031.8646 34.5240 4.4505
-14813.42 980.00 1484.0314  1031.9171 34.5249 4.4075
-14813.42 990.00 1484.0231  1031.9696 34.5258 4.3645
-14813.42 1000.00 1484.0149  1032.0222 34.5268 4.3215
-14813.42 1010.00 1484.0123  1032.0745 34.5278 4.2800
-14813.42 1020.00 1484.0242  1032.1265 34.5289 4.2420
-14813.42 1030.00 1484.0360  1032.1784 34.5301 4.2041
-14813.42 1040.00 1484.0478  1032.2304 34.5313 4.1662
-14813.42 1050.00 1484.0596  1032.2824 34.5324 4.1282
-14813.42 1060.00 1484.0715  1032.3343 34.5336 4.0903
-14813.42 1070.00 1484.0833  1032.3863 34.5348 4.0524
-14813.42 1080.00 1484.0951  1032.4383 34.5360 4.0145
-14813.42 1090.00 1484.1069  1032.4902 34.5371 3.9765
-14813.42 1100.00 1484.1188  1032.5422 34.5383 3.9386
-14813.42 1110.00 1484.1373  1032.5939 34.5395 3.9023
-14813.42 1120.00 1484.1655  1032.6454 34.5408 3.8685
-14813.42 1130.00 1484.1938  1032.6969 34.5420 3.8347
-14813.42 1140.00 1484.2220  1032.7483 34.5433 3.8009
-14813.42 1150.00 1484.2503  1032.7998 34.5446 3.7671
-14813.42 1160.00 1484.2785  1032.8512 34.5459 3.7333
-14813.42 1170.00 1484.3067  1032.9027 34.5471 3.6994
-14813.42 1180.00 1484.3350  1032.9542 34.5484 3.6656
-14813.42 1190.00 1484.3632  1033.0056 34.5497 3.6318
-14813.42 1200.00 1484.3915  1033.0571 34.5509 3.5980
-14813.42 1210.00 1484.4265  1033.1083 34.5522 3.5658
