-50000.00 0.00 55559.75 3830.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
-50000.00 2440.00 1497.3306  1039.0870 34.6466 1.6250
-50000.00 2450.00 1497.4791  1039.1338 34.6471 1.6189
-50000.00 2460.00 1497.6275  1039.1807 34.6476 1.6128
-50000.00 2470.00 1497.7760  1039.2275 34.6480 1.6067
-50000.00 2480.00 1497.9245  1039.2743 34.6485 1.6006
-50000.00 2490.00 1498.0729  1039.3211 34.6490 1.5945
-50000.00 2500.00 1498.2268  1039.3676 34.6494 1.5894
-50000.00 2510.00 1498.3815  1039.4141 34.6498 1.5845
-50000.00 2520.00 1498.5361  1039.4605 34.6501 1.5796
-50000.00 2530.00 1498.6908  1039.5070 34.6505 1.5748
-50000.00 2540.00 1498.8454  1039.5535 34.6509 1.5699
-50000.00 2550.00 1499.0001  1039.5999 34.6513 1.5650
-50000.00 2560.00 1499.1548  1039.6464 34.6517 1.5601
-50000.00 2570.00 1499.3094  1039.6928 34.6520 1.5552
-50000.00 2580.00 1499.4641  1039.7393 34.6524 1.5503
-50000.00 2590.00 1499.6187  1039.7857 34.6528 1.5454
-50000.00 2600.00 1499.7734  1039.8322 34.6532 1.5405
-50000.00 2610.00 1499.9280  1039.8787 34.6536 1.5356
-50000.00 2620.00 1500.0827  1039.9251 34.6539 1.5307
-50000.00 2630.00 1500.2373  1039.9716 34.6543 1.5258
-50000.00 2640.00 1500.3920  1040.0180 34.6547 1.5209
-50000.00 2650.00 1500.5466  1040.0645 34.6551 1.5160
-50000.00 2660.00 1500.7013  1040.1110 34.6555 1.5111
-50000.00 2670.00 1500.8559  1040.1574 34.6559 1.5062
-50000.00 2680.00 1501.0106  1040.2039 34.6562 1.5013
-50000.00 2690.00 1501.1653  1040.2503 34.6566 1.4964
-50000.00 2700.00 1501.3199  1040.2968 34.6570 1.4915
-50000.00 2710.00 1501.4746  1040.3432 34.6574 1.4866
-50000.00 2720.00 1501.6292  1040.3897 34.6578 1.4817
-50000.00 2730.00 1501.7843  1040.4361 34.6581 1.4769
-50000.00 2740.00 1501.9443  1040.4822 34.6584 1.4730
-50000.00 2750.00 1502.1042  1040.5284 34.6588 1.4691
-50000.00 2760.00 1502.2642  1040.5745 34.6591 1.4652
-50000.00 2770.00 1502.4242  1040.6206 34.6594 1.4612
-50000.00 2780.00 1502.5842  1040.6667 34.6597 1.4573
-50000.00 2790.00 1502.7441  1040.7128 34.6600 1.4534
-50000.00 2800.00 1502.9041  1040.7589 34.6603 1.4495
-50000.00 2810.00 1503.0641  1040.8050 34.6606 1.4455
-50000.00 2820.00 1503.2241  1040.8512 34.6610 1.4416
-50000.00 2830.00 1503.3841  1040.8973 34.6613 1.4377
-50000.00 2840.00 1503.5440  1040.9434 34.6616 1.4338
-50000.00 2850.00 1503.7040  1040.9895 34.6619 1.4299
-50000.00 2860.00 1503.8640  1041.0356 34.6622 1.4259
-50000.00 2870.00 1504.0240  1041.0817 34.6625 1.4220
-50000.00 2880.00 1504.1840  1041.1278 34.6628 1.4181
-50000.00 2890.00 1504.3439  1041.1740 34.6632 1.4142
-50000.00 2900.00 1504.5039  1041.2201 34.6635 1.4102
-50000.00 2910.00 1504.6639  1041.2662 34.6638 1.4063
-50000.00 2920.00 1504.8239  1041.3123 34.6641 1.4024
-50000.00 2930.00 1504.9839  1041.3584 34.6644 1.3985
-50000.00 2940.00 1505.1438  1041.4045 34.6647 1.3946
