-50000.00 0.00 55559.75 2000.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
-50000.00 1580.00 1486.6013  1034.9712 34.5836 2.5871
-50000.00 1590.00 1486.7053  1035.0206 34.5853 2.5711
-50000.00 1600.00 1486.8092  1035.0701 34.5870 2.5550
-50000.00 1610.00 1486.9131  1035.1195 34.5887 2.5390
-50000.00 1620.00 1487.0170  1035.1690 34.5904 2.5229
-50000.00 1630.00 1487.1210  1035.2185 34.5921 2.5069
-50000.00 1640.00 1487.2291  1035.2677 34.5936 2.4918
-50000.00 1650.00 1487.3402  1035.3167 34.5951 2.4774
-50000.00 1660.00 1487.4514  1035.3657 34.5965 2.4631
-50000.00 1670.00 1487.5625  1035.4147 34.5979 2.4487
-50000.00 1680.00 1487.6736  1035.4637 34.5994 2.4343
-50000.00 1690.00 1487.7847  1035.5127 34.6008 2.4200
-50000.00 1700.00 1487.8959  1035.5617 34.6022 2.4056
-50000.00 1710.00 1488.0070  1035.6107 34.6037 2.3912
-50000.00 1720.00 1488.1181  1035.6597 34.6051 2.3768
-50000.00 1730.00 1488.2292  1035.7086 34.6065 2.3625
-50000.00 1740.00 1488.3404  1035.7576 34.6080 2.3481
-50000.00 1750.00 1488.4515  1035.8066 34.6094 2.3337
-50000.00 1760.00 1488.5626  1035.8556 34.6108 2.3194
-50000.00 1770.00 1488.6783  1035.9044 34.6121 2.3060
-50000.00 1780.00 1488.7989  1035.9528 34.6133 2.2938
-50000.00 1790.00 1488.9195  1036.0013 34.6145 2.2816
-50000.00 1800.00 1489.0401  1036.0498 34.6156 2.2694
-50000.00 1810.00 1489.1607  1036.0982 34.6168 2.2572
-50000.00 1820.00 1489.2813  1036.1467 34.6179 2.2450
-50000.00 1830.00 1489.4019  1036.1952 34.6191 2.2328
-50000.00 1840.00 1489.5224  1036.2436 34.6203 2.2206
-50000.00 1850.00 1489.6430  1036.2921 34.6214 2.2083
-50000.00 1860.00 1489.7636  1036.3405 34.6226 2.1961
-50000.00 1870.00 1489.8842  1036.3890 34.6238 2.1839
-50000.00 1880.00 1490.0048  1036.4375 34.6249 2.1717
-50000.00 1890.00 1490.1254  1036.4859 34.6261 2.1595
-50000.00 1900.00 1490.2459  1036.5344 34.6273 2.1473
-50000.00 1910.00 1490.3665  1036.5828 34.6284 2.1351
-50000.00 1920.00 1490.4934  1036.6310 34.6295 2.1243
-50000.00 1930.00 1490.6247  1036.6789 34.6304 2.1144
-50000.00 1940.00 1490.7559  1036.7268 34.6313 2.1046
-50000.00 1950.00 1490.8872  1036.7747 34.6322 2.0948
-50000.00 1960.00 1491.0185  1036.8226 34.6331 2.0849
-50000.00 1970.00 1491.1498  1036.8705 34.6341 2.0751
-50000.00 1980.00 1491.2811  1036.9184 34.6350 2.0653
-50000.00 1990.00 1491.4124  1036.9663 34.6359 2.0555
-50000.00 2000.00 1491.5437  1037.0141 34.6368 2.0456
-44973.35 0.00 1511.6174  1025.0014 34.2881 16.8777
-44973.35 10.00 1511.6926  1025.0519 34.2866 16.8469
-44973.35 20.00 1511.6181  1025.1122 34.2829 16.7675
-44973.35 30.00 1511.1582  1025.1967 34.2732 16.5639
-44973.35 40.00 1510.2123  1025.3110 34.2562 16.2058
-44973.35 50.00 1508.8658  1025.4480 34.2339 15.7241
-44973.35 60.00 1507.3187  1025.5936 34.2090 15.1858
-44973.35 70.00 1505.7552  1025.7360 34.1839 14.6499
-44973.35 80.00 1504.3025  1025.8679 34.1598 14.1554
-44973.35 90.00 1503.0115  1025.9864 34.1360 13.7165
-44973.35 100.00 1501.8758  1026.0924 34.1121 13.3296
-44973.35 110.00 1500.8730  1026.1890 34.0891 12.9860
-44973.35 120.00 1499.9589  1026.2808 34.0684 12.6710
-44973.35 130.00 1499.0623  1026.3730 34.0509 12.3625
-44973.35 140.00 1498.1394  1026.4689 34.0375 12.0470
-44973.35 150.00 1497.2126  1026.5747 34.0377 11.7288
-44973.35 160.00 1496.3333  1026.6872 34.0502 11.4220
-44973.35 170.00 1495.4923  1026.8053 34.0728 11.1243
-44973.35 180.00 1494.7797  1026.9279 34.1104 10.8605
-44973.35 190.00 1494.1076  1027.0519 34.1528 10.6075
-44973.35 200.00 1493.5288  1027.1724 34.1976 10.3815
-44973.35 210.00 1493.0338  1027.2898 34.2444 10.1798
-44973.35 220.00 1492.5388  1027.4072 34.2913 9.9781
-44973.35 230.00 1492.1042  1027.5122 34.3280 9.7987
-44973.35 240.00 1491.6919  1027.6126 34.3610 9.6276
-44973.35 250.00 1491.2797  1027.7130 34.3939 9.4565
-44973.35 260.00 1490.8636  1027.8083 34.4210 9.2871
-44973.35 270.00 1490.4362  1027.8885 34.4305 9.1228
-44973.35 280.00 1490.0087  1027.9686 34.4401 8.9586
-44973.35 290.00 1489.5813  1028.0488 34.4496 8.7943
-44973.35 300.00 1489.1536  1028.1289 34.4591 8.6300
-44973.35 310.00 1488.6892  1028.1958 34.4527 8.4646
-44973.35 320.00 1488.2247  1028.2627 34.4464 8.2992
-44973.35 330.00 1487.7602  1028.3295 34.4401 8.1338
