-50000.00 0.00 55559.75 7990.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
-50000.00 2220.00 1494.7441  1038.0442 34.6469 1.9045
-50000.00 2230.00 1494.8905  1038.0914 34.6475 1.8980
-50000.00 2240.00 1495.0368  1038.1385 34.6482 1.8915
-50000.00 2250.00 1495.1832  1038.1856 34.6488 1.8850
-50000.00 2260.00 1495.3296  1038.2328 34.6495 1.8785
-50000.00 2270.00 1495.4760  1038.2799 34.6501 1.8720
-50000.00 2280.00 1495.6236  1038.3269 34.6507 1.8658
-50000.00 2290.00 1495.7734  1038.3737 34.6512 1.8599
-50000.00 2300.00 1495.9232  1038.4206 34.6517 1.8541
-50000.00 2310.00 1496.0730  1038.4674 34.6522 1.8482
-50000.00 2320.00 1496.2228  1038.5142 34.6527 1.8424
-50000.00 2330.00 1496.3726  1038.5610 34.6532 1.8365
-50000.00 2340.00 1496.5224  1038.6078 34.6537 1.8307
-50000.00 2350.00 1496.6722  1038.6546 34.6542 1.8248
-50000.00 2360.00 1496.8220  1038.7014 34.6547 1.8190
-50000.00 2370.00 1496.9718  1038.7483 34.6552 1.8131
-50000.00 2380.00 1497.1216  1038.7951 34.6557 1.8073
-50000.00 2390.00 1497.2714  1038.8419 34.6562 1.8014
-50000.00 2400.00 1497.4212  1038.8887 34.6567 1.7956
-50000.00 2410.00 1497.5710  1038.9355 34.6571 1.7897
-50000.00 2420.00 1497.7208  1038.9823 34.6576 1.7839
-50000.00 2430.00 1497.8706  1039.0291 34.6581 1.7780
-50000.00 2440.00 1498.0204  1039.0760 34.6586 1.7722
-50000.00 2450.00 1498.1702  1039.1228 34.6591 1.7663
-50000.00 2460.00 1498.3200  1039.1696 34.6596 1.7604
-50000.00 2470.00 1498.4698  1039.2164 34.6601 1.7546
-50000.00 2480.00 1498.6196  1039.2632 34.6606 1.7487
-50000.00 2490.00 1498.7694  1039.3100 34.6611 1.7429
-50000.00 2500.00 1498.9219  1039.3566 34.6615 1.7375
-50000.00 2510.00 1499.0748  1039.4031 34.6619 1.7322
-50000.00 2520.00 1499.2278  1039.4497 34.6623 1.7268
-50000.00 2530.00 1499.3807  1039.4962 34.6627 1.7215
-50000.00 2540.00 1499.5337  1039.5428 34.6632 1.7162
-50000.00 2550.00 1499.6866  1039.5893 34.6636 1.7109
-50000.00 2560.00 1499.8395  1039.6359 34.6640 1.7055
-50000.00 2570.00 1499.9925  1039.6824 34.6644 1.7002
