-50000.00 0.00 55559.75 2010.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
-44973.35 1240.00 1483.2479  1033.2664 34.5063 3.1794
-44973.35 1250.00 1483.3407  1033.3173 34.5093 3.1604
-44973.35 1260.00 1483.4335  1033.3682 34.5122 3.1415
-44973.35 1270.00 1483.5263  1033.4191 34.5151 3.1225
-44973.35 1280.00 1483.6191  1033.4701 34.5181 3.1035
-44973.35 1290.00 1483.7120  1033.5210 34.5210 3.0846
-44973.35 1300.00 1483.8048  1033.5719 34.5240 3.0656
-44973.35 1310.00 1483.8990  1033.6226 34.5267 3.0470
-44973.35 1320.00 1483.9958  1033.6729 34.5291 3.0291
-44973.35 1330.00 1484.0925  1033.7232 34.5315 3.0113
-44973.35 1340.00 1484.1892  1033.7736 34.5339 2.9934
-44973.35 1350.00 1484.2859  1033.8239 34.5363 2.9755
-44973.35 1360.00 1484.3826  1033.8742 34.5387 2.9576
-44973.35 1370.00 1484.4793  1033.9245 34.5411 2.9397
-44973.35 1380.00 1484.5760  1033.9748 34.5435 2.9218
-44973.35 1390.00 1484.6727  1034.0252 34.5458 2.9039
-44973.35 1400.00 1484.7694  1034.0755 34.5482 2.8860
-44973.35 1410.00 1484.8664  1034.1258 34.5506 2.8682
-44973.35 1420.00 1484.9664  1034.1756 34.5526 2.8512
-44973.35 1430.00 1485.0665  1034.2255 34.5546 2.8341
-44973.35 1440.00 1485.1665  1034.2754 34.5567 2.8171
-44973.35 1450.00 1485.2666  1034.3253 34.5587 2.8001
-44973.35 1460.00 1485.3667  1034.3752 34.5607 2.7831
-44973.35 1470.00 1485.4667  1034.4250 34.5627 2.7661
-44973.35 1480.00 1485.5668  1034.4749 34.5647 2.7491
-44973.35 1490.00 1485.6668  1034.5248 34.5667 2.7320
-44973.35 1500.00 1485.7669  1034.5747 34.5688 2.7150
-44973.35 1510.00 1485.8669  1034.6246 34.5708 2.6980
-44973.35 1520.00 1485.9683  1034.6743 34.5727 2.6813
-44973.35 1530.00 1486.0728  1034.7238 34.5744 2.6654
-44973.35 1540.00 1486.1773  1034.7732 34.5762 2.6495
-44973.35 1550.00 1486.2818  1034.8227 34.5779 2.6335
-44973.35 1560.00 1486.3863  1034.8722 34.5796 2.6176
-44973.35 1570.00 1486.4908  1034.9216 34.5813 2.6017
-44973.35 1580.00 1486.5954  1034.9711 34.5830 2.5858
-44973.35 1590.00 1486.6999  1035.0206 34.5848 2.5698
-44973.35 1600.00 1486.8044  1035.0700 34.5865 2.5539
-44973.35 1610.00 1486.9089  1035.1195 34.5882 2.5380
-44973.35 1620.00 1487.0134  1035.1690 34.5899 2.5221
-44973.35 1630.00 1487.1179  1035.2184 34.5916 2.5061
-44973.35 1640.00 1487.2265  1035.2676 34.5932 2.4912
-44973.35 1650.00 1487.3379  1035.3166 34.5947 2.4769
-44973.35 1660.00 1487.4493  1035.3656 34.5961 2.4625
-44973.35 1670.00 1487.5607  1035.4146 34.5975 2.4482
-44973.35 1680.00 1487.6722  1035.4636 34.5990 2.4339
-44973.35 1690.00 1487.7836  1035.5126 34.6004 2.4196
-44973.35 1700.00 1487.8950  1035.5616 34.6019 2.4053
-44973.35 1710.00 1488.0064  1035.6106 34.6033 2.3910
-44973.35 1720.00 1488.1179  1035.6596 34.6048 2.3767
-44973.35 1730.00 1488.2293  1035.7086 34.6062 2.3624
-44973.35 1740.00 1488.3407  1035.7576 34.6076 2.3481
-44973.35 1750.00 1488.4522  1035.8066 34.6091 2.3338
-44973.35 1760.00 1488.5636  1035.8556 34.6105 2.3195
-44973.35 1770.00 1488.6795  1035.9044 34.6118 2.3062
-44973.35 1780.00 1488.8003  1035.9528 34.6130 2.2940
-44973.35 1790.00 1488.9211  1036.0013 34.6142 2.2819
-44973.35 1800.00 1489.0418  1036.0497 34.6154 2.2697
-44973.35 1810.00 1489.1626  1036.0982 34.6165 2.2575
-44973.35 1820.00 1489.2834  1036.1467 34.6177 2.2453
-44973.35 1830.00 1489.4041  1036.1951 34.6189 2.2332
-44973.35 1840.00 1489.5249  1036.2436 34.6200 2.2210
-44973.35 1850.00 1489.6457  1036.2921 34.6212 2.2088
-44973.35 1860.00 1489.7664  1036.3405 34.6224 2.1966
-44973.35 1870.00 1489.8872  1036.3890 34.6236 2.1845
-44973.35 1880.00 1490.0080  1036.4375 34.6247 2.1723
-44973.35 1890.00 1490.1287  1036.4859 34.6259 2.1601
-44973.35 1900.00 1490.2495  1036.5344 34.6271 2.1479
-44973.35 1910.00 1490.3703  1036.5829 34.6282 2.1358
-44973.35 1920.00 1490.4972  1036.6310 34.6293 2.1250
