-50000.00 0.00 55559.75 1420.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
-44973.35 680.00 1483.4833  1030.2012 34.2957 5.5815
-44973.35 690.00 1483.3486  1030.2657 34.3054 5.5033
-44973.35 700.00 1483.2140  1030.3302 34.3150 5.4251
-44973.35 710.00 1483.0793  1030.3947 34.3247 5.3469
-44973.35 720.00 1482.9447  1030.4592 34.3343 5.2687
-44973.35 730.00 1482.8830  1030.5200 34.3428 5.2095
-44973.35 740.00 1482.8444  1030.5796 34.3509 5.1563
-44973.35 750.00 1482.8057  1030.6393 34.3590 5.1031
-44973.35 760.00 1482.7671  1030.6989 34.3671 5.0499
-44973.35 770.00 1482.7285  1030.7586 34.3752 4.9967
-44973.35 780.00 1482.6898  1030.8182 34.3833 4.9435
-44973.35 790.00 1482.6512  1030.8779 34.3914 4.8903
-44973.35 800.00 1482.6125  1030.9375 34.3995 4.8371
-44973.35 810.00 1482.5739  1030.9972 34.4076 4.7839
-44973.35 820.00 1482.5568  1031.0549 34.4143 4.7367
-44973.35 830.00 1482.5571  1031.1110 34.4198 4.6942
-44973.35 840.00 1482.5574  1031.1671 34.4254 4.6518
-44973.35 850.00 1482.5577  1031.2232 34.4309 4.6093
-44973.35 860.00 1482.5579  1031.2793 34.4364 4.5669
-44973.35 870.00 1482.5582  1031.3354 34.4420 4.5244
-44973.35 880.00 1482.5585  1031.3915 34.4475 4.4820
-44973.35 890.00 1482.5588  1031.4476 34.4530 4.4396
-44973.35 900.00 1482.5591  1031.5037 34.4586 4.3971
-44973.35 910.00 1482.5600  1031.5597 34.4640 4.3548
-44973.35 920.00 1482.5818  1031.6134 34.4676 4.3185
-44973.35 930.00 1482.6037  1031.6671 34.4712 4.2822
-44973.35 940.00 1482.6256  1031.7208 34.4748 4.2459
-44973.35 950.00 1482.6475  1031.7745 34.4783 4.2095
-44973.35 960.00 1482.6694  1031.8282 34.4819 4.1732
-44973.35 970.00 1482.6913  1031.8819 34.4855 4.1369
-44973.35 980.00 1482.7132  1031.9356 34.4890 4.1006
-44973.35 990.00 1482.7351  1031.9893 34.4926 4.0643
