-50000.00 0.00 55559.75 7990.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
-50000.00 1260.00 1483.9478  1033.3839 34.5492 3.2523
-50000.00 1270.00 1484.0046  1033.4345 34.5506 3.2254
-50000.00 1280.00 1484.0613  1033.4852 34.5520 3.1985
-50000.00 1290.00 1484.1181  1033.5359 34.5534 3.1716
-50000.00 1300.00 1484.1748  1033.5865 34.5548 3.1447
-50000.00 1310.00 1484.2346  1033.6371 34.5562 3.1186
-50000.00 1320.00 1484.2995  1033.6873 34.5574 3.0937
-50000.00 1330.00 1484.3643  1033.7375 34.5586 3.0688
-50000.00 1340.00 1484.4292  1033.7878 34.5599 3.0440
-50000.00 1350.00 1484.4941  1033.8380 34.5611 3.0191
-50000.00 1360.00 1484.5589  1033.8882 34.5623 2.9942
-50000.00 1370.00 1484.6238  1033.9385 34.5636 2.9694
-50000.00 1380.00 1484.6886  1033.9887 34.5648 2.9445
-50000.00 1390.00 1484.7535  1034.0389 34.5660 2.9196
-50000.00 1400.00 1484.8183  1034.0892 34.5672 2.8948
-50000.00 1410.00 1484.8841  1034.1394 34.5684 2.8701
-50000.00 1420.00 1484.9600  1034.1891 34.5696 2.8479
-50000.00 1430.00 1485.0359  1034.2389 34.5707 2.8256
-50000.00 1440.00 1485.1118  1034.2887 34.5718 2.8034
-50000.00 1450.00 1485.1876  1034.3385 34.5729 2.7812
-50000.00 1460.00 1485.2635  1034.3882 34.5740 2.7590
-50000.00 1470.00 1485.3394  1034.4380 34.5751 2.7367
-50000.00 1480.00 1485.4153  1034.4878 34.5762 2.7145
-50000.00 1490.00 1485.4911  1034.5375 34.5773 2.6923
-50000.00 1500.00 1485.5670  1034.5873 34.5784 2.6700
-50000.00 1510.00 1485.6429  1034.6371 34.5795 2.6478
-50000.00 1520.00 1485.7230  1034.6867 34.5806 2.6266
-50000.00 1530.00 1485.8135  1034.7359 34.5816 2.6077
-50000.00 1540.00 1485.9040  1034.7852 34.5826 2.5889
-50000.00 1550.00 1485.9945  1034.8344 34.5836 2.5701
-50000.00 1560.00 1486.0850  1034.8836 34.5846 2.5512
-50000.00 1570.00 1486.1755  1034.9329 34.5857 2.5324
-50000.00 1580.00 1486.2659  1034.9821 34.5867 2.5135
-50000.00 1590.00 1486.3564  1035.0313 34.5877 2.4947
-50000.00 1600.00 1486.4469  1035.0806 34.5887 2.4759
-50000.00 1610.00 1486.5374  1035.1298 34.5897 2.4570
-50000.00 1620.00 1486.6279  1035.1790 34.5907 2.4382
-50000.00 1630.00 1486.7184  1035.2283 34.5917 2.4194
-50000.00 1640.00 1486.8181  1035.2772 34.5927 2.4026
-50000.00 1650.00 1486.9244  1035.3259 34.5936 2.3874
-50000.00 1660.00 1487.0306  1035.3745 34.5945 2.3722
-50000.00 1670.00 1487.1369  1035.4232 34.5954 2.3569
-50000.00 1680.00 1487.2432  1035.4719 34.5964 2.3417
-50000.00 1690.00 1487.3495  1035.5205 34.5973 2.3265
-50000.00 1700.00 1487.4558  1035.5692 34.5982 2.3112
-50000.00 1710.00 1487.5620  1035.6179 34.5991 2.2960
-50000.00 1720.00 1487.6683  1035.6666 34.6000 2.2808
-50000.00 1730.00 1487.7746  1035.7152 34.6010 2.2655
-50000.00 1740.00 1487.8809  1035.7639 34.6019 2.2503
-50000.00 1750.00 1487.9872  1035.8126 34.6028 2.2351
-50000.00 1760.00 1488.0935  1035.8612 34.6037 2.2198
-50000.00 1770.00 1488.2067  1035.9097 34.6046 2.2061
-50000.00 1780.00 1488.3272  1035.9578 34.6054 2.1941
-50000.00 1790.00 1488.4477  1036.0059 34.6062 2.1821
-50000.00 1800.00 1488.5683  1036.0540 34.6070 2.1700
-50000.00 1810.00 1488.6888  1036.1022 34.6078 2.1580
-50000.00 1820.00 1488.8093  1036.1503 34.6086 2.1459
-50000.00 1830.00 1488.9299  1036.1984 34.6094 2.1339
-50000.00 1840.00 1489.0504  1036.2465 34.6103 2.1218
-50000.00 1850.00 1489.1709  1036.2947 34.6111 2.1098
-50000.00 1860.00 1489.2915  1036.3428 34.6119 2.0978
-50000.00 1870.00 1489.4120  1036.3909 34.6127 2.0857
-50000.00 1880.00 1489.5325  1036.4391 34.6135 2.0737
-50000.00 1890.00 1489.6531  1036.4872 34.6143 2.0616
-50000.00 1900.00 1489.7736  1036.5353 34.6151 2.0496
-50000.00 1910.00 1489.8941  1036.5834 34.6159 2.0375
-50000.00 1920.00 1490.0214  1036.6313 34.6167 2.0270
-50000.00 1930.00 1490.1535  1036.6789 34.6174 2.0175
-50000.00 1940.00 1490.2856  1036.7266 34.6181 2.0079
-50000.00 1950.00 1490.4176  1036.7742 34.6187 1.9984
-50000.00 1960.00 1490.5497  1036.8219 34.6194 1.9889
-50000.00 1970.00 1490.6817  1036.8695 34.6201 1.9794
-50000.00 1980.00 1490.8138  1036.9172 34.6208 1.9699
-50000.00 1990.00 1490.9459  1036.9648 34.6215 1.9604
-50000.00 2000.00 1491.0779  1037.0124 34.6222 1.9508
-50000.00 2010.00 1491.2100  1037.0601 34.6229 1.9413
-50000.00 2020.00 1491.3420  1037.1077 34.6236 1.9318
-50000.00 2030.00 1491.4741  1037.1554 34.6243 1.9223
-50000.00 2040.00 1491.6062  1037.2030 34.6250 1.9128
