-50000.00 0.00 55559.75 7990.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
-50000.00 1330.00 1484.0897  1033.7233 34.5314 3.0106
-50000.00 1340.00 1484.1865  1033.7736 34.5338 2.9928
-50000.00 1350.00 1484.2833  1033.8239 34.5362 2.9749
-50000.00 1360.00 1484.3801  1033.8742 34.5386 2.9570
-50000.00 1370.00 1484.4769  1033.9245 34.5410 2.9391
-50000.00 1380.00 1484.5737  1033.9749 34.5434 2.9213
-50000.00 1390.00 1484.6705  1034.0252 34.5458 2.9034
-50000.00 1400.00 1484.7673  1034.0755 34.5482 2.8855
-50000.00 1410.00 1484.8644  1034.1258 34.5505 2.8677
-50000.00 1420.00 1484.9645  1034.1757 34.5526 2.8507
-50000.00 1430.00 1485.0646  1034.2256 34.5546 2.8337
-50000.00 1440.00 1485.1647  1034.2754 34.5566 2.8167
-50000.00 1450.00 1485.2649  1034.3253 34.5586 2.7997
-50000.00 1460.00 1485.3650  1034.3752 34.5606 2.7827
-50000.00 1470.00 1485.4651  1034.4251 34.5627 2.7657
-50000.00 1480.00 1485.5652  1034.4750 34.5647 2.7487
-50000.00 1490.00 1485.6653  1034.5248 34.5667 2.7317
-50000.00 1500.00 1485.7655  1034.5747 34.5687 2.7147
-50000.00 1510.00 1485.8656  1034.6246 34.5707 2.6977
-50000.00 1520.00 1485.9670  1034.6744 34.5727 2.6810
-50000.00 1530.00 1486.0715  1034.7238 34.5744 2.6651
-50000.00 1540.00 1486.1761  1034.7733 34.5761 2.6492
-50000.00 1550.00 1486.2807  1034.8228 34.5778 2.6332
-50000.00 1560.00 1486.3852  1034.8722 34.5796 2.6173
-50000.00 1570.00 1486.4898  1034.9217 34.5813 2.6014
-50000.00 1580.00 1486.5943  1034.9711 34.5830 2.5855
-50000.00 1590.00 1486.6989  1035.0206 34.5847 2.5696
-50000.00 1600.00 1486.8034  1035.0701 34.5865 2.5537
-50000.00 1610.00 1486.9080  1035.1195 34.5882 2.5378
-50000.00 1620.00 1487.0126  1035.1690 34.5899 2.5218
-50000.00 1630.00 1487.1171  1035.2185 34.5916 2.5059
-50000.00 1640.00 1487.2257  1035.2676 34.5932 2.4910
-50000.00 1650.00 1487.3371  1035.3166 34.5946 2.4767
-50000.00 1660.00 1487.4486  1035.3656 34.5961 2.4624
-50000.00 1670.00 1487.5600  1035.4147 34.5975 2.4481
-50000.00 1680.00 1487.6715  1035.4637 34.5990 2.4338
-50000.00 1690.00 1487.7830  1035.5127 34.6004 2.4195
-50000.00 1700.00 1487.8944  1035.5617 34.6019 2.4052
-50000.00 1710.00 1488.0059  1035.6107 34.6033 2.3909
-50000.00 1720.00 1488.1173  1035.6597 34.6047 2.3766
-50000.00 1730.00 1488.2288  1035.7087 34.6062 2.3623
-50000.00 1740.00 1488.3402  1035.7577 34.6076 2.3480
-50000.00 1750.00 1488.4517  1035.8067 34.6091 2.3337
-50000.00 1760.00 1488.5631  1035.8557 34.6105 2.3194
-50000.00 1770.00 1488.6791  1035.9044 34.6118 2.3061
-50000.00 1780.00 1488.7999  1035.9529 34.6130 2.2939
-50000.00 1790.00 1488.9207  1036.0013 34.6142 2.2818
-50000.00 1800.00 1489.0415  1036.0498 34.6153 2.2696
-50000.00 1810.00 1489.1623  1036.0983 34.6165 2.2574
-50000.00 1820.00 1489.2831  1036.1467 34.6177 2.2452
-50000.00 1830.00 1489.4038  1036.1952 34.6189 2.2331
-50000.00 1840.00 1489.5246  1036.2436 34.6200 2.2209
-50000.00 1850.00 1489.6454  1036.2921 34.6212 2.2087
-50000.00 1860.00 1489.7662  1036.3406 34.6224 2.1966
-50000.00 1870.00 1489.8870  1036.3890 34.6236 2.1844
-50000.00 1880.00 1490.0078  1036.4375 34.6247 2.1722
-50000.00 1890.00 1490.1286  1036.4860 34.6259 2.1600
-50000.00 1900.00 1490.2493  1036.5344 34.6271 2.1479
-50000.00 1910.00 1490.3701  1036.5829 34.6282 2.1357
-50000.00 1920.00 1490.4971  1036.6310 34.6293 2.1249
-50000.00 1930.00 1490.6284  1036.6789 34.6302 2.1151
-50000.00 1940.00 1490.7597  1036.7268 34.6311 2.1053
-50000.00 1950.00 1490.8911  1036.7747 34.6321 2.0954
-50000.00 1960.00 1491.0224  1036.8226 34.6330 2.0856
-50000.00 1970.00 1491.1537  1036.8705 34.6339 2.0758
-50000.00 1980.00 1491.2850  1036.9184 34.6348 2.0660
-50000.00 1990.00 1491.4163  1036.9663 34.6358 2.0561
-50000.00 2000.00 1491.5477  1037.0142 34.6367 2.0463
-50000.00 2010.00 1491.6790  1037.0621 34.6376 2.0365
-50000.00 2020.00 1491.8103  1037.1100 34.6385 2.0267
-50000.00 2030.00 1491.9416  1037.1579 34.6395 2.0169
-50000.00 2040.00 1492.0730  1037.2058 34.6404 2.0070
-50000.00 2050.00 1492.2043  1037.2538 34.6413 1.9972
-50000.00 2060.00 1492.3356  1037.3017 34.6423 1.9874
-50000.00 2070.00 1492.4669  1037.3496 34.6432 1.9776
-50000.00 2080.00 1492.5983  1037.3975 34.6441 1.9677
-50000.00 2090.00 1492.7359  1037.4450 34.6449 1.9593
-50000.00 2100.00 1492.8779  1037.4924 34.6456 1.9518
-50000.00 2110.00 1493.0198  1037.5397 34.6463 1.9443
-50000.00 2120.00 1493.1618  1037.5870 34.6470 1.9368
-50000.00 2130.00 1493.3038  1037.6344 34.6478 1.9293
-50000.00 2140.00 1493.4457  1037.6817 34.6485 1.9218
-50000.00 2150.00 1493.5877  1037.7291 34.6492 1.9142
-50000.00 2160.00 1493.7296  1037.7764 34.6499 1.9067
-50000.00 2170.00 1493.8716  1037.8238 34.6506 1.8992
-50000.00 2180.00 1494.0136  1037.8711 34.6513 1.8917
-50000.00 2190.00 1494.1555  1037.9184 34.6520 1.8842
-50000.00 2200.00 1494.2975  1037.9658 34.6527 1.8767
-50000.00 2210.00 1494.4394  1038.0131 34.6534 1.8692
-50000.00 2220.00 1494.5814  1038.0605 34.6542 1.8617
-50000.00 2230.00 1494.7233  1038.1078 34.6549 1.8542
-50000.00 2240.00 1494.8653  1038.1551 34.6556 1.8467
-50000.00 2250.00 1495.0073  1038.2025 34.6563 1.8392
-50000.00 2260.00 1495.1492  1038.2498 34.6570 1.8317
-50000.00 2270.00 1495.2912  1038.2972 34.6577 1.8241
-50000.00 2280.00 1495.4366  1038.3443 34.6584 1.8174
-50000.00 2290.00 1495.5877  1038.3911 34.6589 1.8118
-50000.00 2300.00 1495.7389  1038.4380 34.6594 1.8062
-50000.00 2310.00 1495.8900  1038.4848 34.6600 1.8006
-50000.00 2320.00 1496.0411  1038.5316 34.6605 1.7950
-50000.00 2330.00 1496.1923  1038.5785 34.6610 1.7895
-50000.00 2340.00 1496.3434  1038.6253 34.6616 1.7839
-50000.00 2350.00 1496.4945  1038.6721 34.6621 1.7783
-50000.00 2360.00 1496.6456  1038.7190 34.6626 1.7727
-50000.00 2370.00 1496.7968  1038.7658 34.6632 1.7671
-50000.00 2380.00 1496.9479  1038.8126 34.6637 1.7616
-50000.00 2390.00 1497.0990  1038.8595 34.6642 1.7560
-50000.00 2400.00 1497.2502  1038.9063 34.6648 1.7504
-50000.00 2410.00 1497.4013  1038.9531 34.6653 1.7448
