-50000.00 0.00 55559.75 5400.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
-50000.00 2410.00 1497.9275  1038.9242 34.6566 1.8695
-50000.00 2420.00 1498.0739  1038.9712 34.6572 1.8628
-50000.00 2430.00 1498.2203  1039.0182 34.6578 1.8562
-50000.00 2440.00 1498.3668  1039.0653 34.6585 1.8495
-50000.00 2450.00 1498.5132  1039.1123 34.6591 1.8428
-50000.00 2460.00 1498.6596  1039.1593 34.6597 1.8362
-50000.00 2470.00 1498.8060  1039.2063 34.6604 1.8295
-50000.00 2480.00 1498.9524  1039.2533 34.6610 1.8228
-50000.00 2490.00 1499.0988  1039.3004 34.6616 1.8162
-50000.00 2500.00 1499.2483  1039.3472 34.6623 1.8100
-50000.00 2510.00 1499.3983  1039.3940 34.6629 1.8040
-50000.00 2520.00 1499.5482  1039.4408 34.6635 1.7979
-50000.00 2530.00 1499.6982  1039.4876 34.6641 1.7918
-50000.00 2540.00 1499.8481  1039.5344 34.6647 1.7857
-50000.00 2550.00 1499.9981  1039.5812 34.6654 1.7797
-50000.00 2560.00 1500.1480  1039.6281 34.6660 1.7736
-50000.00 2570.00 1500.2979  1039.6749 34.6666 1.7675
-50000.00 2580.00 1500.4479  1039.7217 34.6672 1.7615
-50000.00 2590.00 1500.5978  1039.7685 34.6679 1.7554
-50000.00 2600.00 1500.7478  1039.8153 34.6685 1.7493
-50000.00 2610.00 1500.8977  1039.8621 34.6691 1.7432
-50000.00 2620.00 1501.0476  1039.9089 34.6697 1.7372
-50000.00 2630.00 1501.1976  1039.9557 34.6704 1.7311
-50000.00 2640.00 1501.3475  1040.0025 34.6710 1.7250
-50000.00 2650.00 1501.4975  1040.0493 34.6716 1.7189
-50000.00 2660.00 1501.6474  1040.0961 34.6722 1.7129
-50000.00 2670.00 1501.7974  1040.1429 34.6729 1.7068
-50000.00 2680.00 1501.9473  1040.1898 34.6735 1.7007
-50000.00 2690.00 1502.0972  1040.2366 34.6741 1.6947
-50000.00 2700.00 1502.2472  1040.2834 34.6747 1.6886
-50000.00 2710.00 1502.3971  1040.3302 34.6754 1.6825
-50000.00 2720.00 1502.5471  1040.3770 34.6760 1.6764
-50000.00 2730.00 1502.6971  1040.4238 34.6766 1.6704
-50000.00 2740.00 1502.8487  1040.4705 34.6773 1.6644
-50000.00 2750.00 1503.0003  1040.5171 34.6779 1.6585
-50000.00 2760.00 1503.1519  1040.5638 34.6786 1.6526
-50000.00 2770.00 1503.3035  1040.6105 34.6792 1.6467
-50000.00 2780.00 1503.4551  1040.6571 34.6798 1.6407
-50000.00 2790.00 1503.6067  1040.7038 34.6805 1.6348
-50000.00 2800.00 1503.7583  1040.7504 34.6811 1.6289
-50000.00 2810.00 1503.9099  1040.7971 34.6818 1.6229
-50000.00 2820.00 1504.0615  1040.8438 34.6824 1.6170
-50000.00 2830.00 1504.2131  1040.8904 34.6831 1.6111
-50000.00 2840.00 1504.3647  1040.9371 34.6837 1.6051
-50000.00 2850.00 1504.5163  1040.9838 34.6844 1.5992
-50000.00 2860.00 1504.6679  1041.0304 34.6850 1.5933
-50000.00 2870.00 1504.8195  1041.0771 34.6857 1.5873
-50000.00 2880.00 1504.9711  1041.1238 34.6863 1.5814
-50000.00 2890.00 1505.1227  1041.1704 34.6870 1.5755
-50000.00 2900.00 1505.2743  1041.2171 34.6876 1.5695
-50000.00 2910.00 1505.4258  1041.2638 34.6883 1.5636
-50000.00 2920.00 1505.5774  1041.3104 34.6889 1.5577
-50000.00 2930.00 1505.7290  1041.3571 34.6896 1.5517
-50000.00 2940.00 1505.8806  1041.4038 34.6902 1.5458
-50000.00 2950.00 1506.0322  1041.4504 34.6909 1.5399
-50000.00 2960.00 1506.1838  1041.4971 34.6915 1.5340
-50000.00 2970.00 1506.3354  1041.5438 34.6922 1.5280
-50000.00 2980.00 1506.4870  1041.5904 34.6928 1.5221
-50000.00 2990.00 1506.6386  1041.6371 34.6934 1.5162
-50000.00 3000.00 1506.7886  1041.6836 34.6940 1.5097
-50000.00 3010.00 1506.9386  1041.7302 34.6946 1.5031
-50000.00 3020.00 1507.0885  1041.7767 34.6951 1.4966
