-50000.00 0.00 55559.75 4850.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
-34920.04 3000.00 1506.4099  1041.6695 34.6777 1.4415
-34920.04 3010.00 1506.5707  1041.7154 34.6779 1.4375
-34920.04 3020.00 1506.7315  1041.7612 34.6781 1.4336
-34920.04 3030.00 1506.8923  1041.8070 34.6783 1.4296
-34920.04 3040.00 1507.0531  1041.8529 34.6785 1.4257
-34920.04 3050.00 1507.2139  1041.8987 34.6787 1.4218
-34920.04 3060.00 1507.3747  1041.9445 34.6789 1.4178
-34920.04 3070.00 1507.5355  1041.9903 34.6791 1.4139
-34920.04 3080.00 1507.6963  1042.0362 34.6793 1.4099
-34920.04 3090.00 1507.8571  1042.0820 34.6795 1.4060
-34920.04 3100.00 1508.0179  1042.1278 34.6797 1.4020
-34920.04 3110.00 1508.1787  1042.1737 34.6799 1.3981
-34920.04 3120.00 1508.3395  1042.2195 34.6801 1.3941
-34920.04 3130.00 1508.5003  1042.2653 34.6803 1.3902
-34920.04 3140.00 1508.6611  1042.3112 34.6805 1.3862
-34920.04 3150.00 1508.8219  1042.3570 34.6807 1.3823
-34920.04 3160.00 1508.9827  1042.4028 34.6809 1.3783
-34920.04 3170.00 1509.1435  1042.4487 34.6811 1.3744
-34920.04 3180.00 1509.3043  1042.4945 34.6813 1.3704
-34920.04 3190.00 1509.4651  1042.5403 34.6815 1.3665
-34920.04 3200.00 1509.6259  1042.5862 34.6817 1.3626
-34920.04 3210.00 1509.7867  1042.6320 34.6819 1.3586
-34920.04 3220.00 1509.9475  1042.6778 34.6821 1.3547
-34920.04 3230.00 1510.1083  1042.7237 34.6823 1.3507
-34920.04 3240.00 1510.2691  1042.7695 34.6825 1.3468
-34920.04 3250.00 1510.4299  1042.8153 34.6827 1.3428
-34920.04 3260.00 1510.5907  1042.8611 34.6829 1.3389
-34920.04 3270.00 1510.7515  1042.9070 34.6831 1.3349
-34920.04 3280.00 1510.9138  1042.9527 34.6833 1.3311
-34920.04 3290.00 1511.0770  1042.9983 34.6835 1.3275
-34920.04 3300.00 1511.2403  1043.0439 34.6837 1.3238
-34920.04 3310.00 1511.4036  1043.0895 34.6839 1.3201
-34920.04 3320.00 1511.5668  1043.1351 34.6841 1.3165
-34920.04 3330.00 1511.7301  1043.1807 34.6843 1.3128
-34920.04 3340.00 1511.8934  1043.2263 34.6845 1.3091
-34920.04 3350.00 1512.0567  1043.2719 34.6846 1.3055
-34920.04 3360.00 1512.2199  1043.3175 34.6848 1.3018
-34920.04 3370.00 1512.3832  1043.3631 34.6850 1.2981
-34920.04 3380.00 1512.5465  1043.4087 34.6852 1.2945
-34920.04 3390.00 1512.7097  1043.4543 34.6854 1.2908
-34920.04 3400.00 1512.8730  1043.4999 34.6856 1.2871
-34920.04 3410.00 1513.0363  1043.5455 34.6858 1.2835
-34920.04 3420.00 1513.1996  1043.5911 34.6860 1.2798
-34920.04 3430.00 1513.3628  1043.6367 34.6862 1.2761
-34920.04 3440.00 1513.5261  1043.6823 34.6864 1.2725
-34920.04 3450.00 1513.6894  1043.7279 34.6866 1.2688
-34920.04 3460.00 1513.8526  1043.7735 34.6868 1.2651
-34920.04 3470.00 1514.0159  1043.8191 34.6870 1.2615
-34920.04 3480.00 1514.1792  1043.8647 34.6872 1.2578
-34920.04 3490.00 1514.3424  1043.9103 34.6874 1.2541
-34920.04 3500.00 1514.5057  1043.9559 34.6876 1.2505
-34920.04 3510.00 1514.6690  1044.0015 34.6877 1.2468
-34920.04 3520.00 1514.8323  1044.0471 34.6879 1.2431
-34920.04 3530.00 1514.9955  1044.0927 34.6881 1.2394
-34920.04 3540.00 1515.1588  1044.1383 34.6883 1.2358
-34920.04 3550.00 1515.3221  1044.1839 34.6885 1.2321
-34920.04 3560.00 1515.4853  1044.2295 34.6887 1.2284
-34920.04 3570.00 1515.6486  1044.2751 34.6889 1.2248
-34920.04 3580.00 1515.8119  1044.3207 34.6891 1.2211
-34920.04 3590.00 1515.9764  1044.3662 34.6893 1.2175
-34920.04 3600.00 1516.1411  1044.4116 34.6895 1.2138
-34920.04 3610.00 1516.3058  1044.4570 34.6897 1.2102
-34920.04 3620.00 1516.4705  1044.5024 34.6899 1.2065
-34920.04 3630.00 1516.6352  1044.5478 34.6901 1.2029
-34920.04 3640.00 1516.8000  1044.5932 34.6903 1.1993
-34920.04 3650.00 1516.9647  1044.6386 34.6906 1.1956
-34920.04 3660.00 1517.1294  1044.6840 34.6908 1.1920
-34920.04 3670.00 1517.2941  1044.7295 34.6910 1.1883
-34920.04 3680.00 1517.4588  1044.7749 34.6912 1.1847
-34920.04 3690.00 1517.6235  1044.8203 34.6914 1.1810
-34920.04 3700.00 1517.7882  1044.8657 34.6916 1.1774
-34920.04 3710.00 1517.9529  1044.9111 34.6918 1.1738
-34920.04 3720.00 1518.1176  1044.9565 34.6920 1.1701
-34920.04 3730.00 1518.2823  1045.0019 34.6922 1.1665
-34920.04 3740.00 1518.4470  1045.0473 34.6924 1.1628
-34920.04 3750.00 1518.6117  1045.0928 34.6926 1.1592
-34920.04 3760.00 1518.7764  1045.1382 34.6928 1.1556
-34920.04 3770.00 1518.9412  1045.1836 34.6931 1.1519
-34920.04 3780.00 1519.1059  1045.2290 34.6933 1.1483
-34920.04 3790.00 1519.2706  1045.2744 34.6935 1.1446
-34920.04 3800.00 1519.4353  1045.3198 34.6937 1.1410
-34920.04 3810.00 1519.6000  1045.3652 34.6939 1.1373
-34920.04 3820.00 1519.7647  1045.4106 34.6941 1.1337
-34920.04 3830.00 1519.9294  1045.4560 34.6943 1.1301
-34920.04 3840.00 1520.0941  1045.5015 34.6945 1.1264
-34920.04 3850.00 1520.2588  1045.5469 34.6947 1.1228
-34920.04 3860.00 1520.4235  1045.5923 34.6949 1.1191
-34920.04 3870.00 1520.5882  1045.6377 34.6951 1.1155
-34920.04 3880.00 1520.7529  1045.6831 34.6953 1.1119
-34920.04 3890.00 1520.9176  1045.7285 34.6956 1.1082
-34920.04 3900.00 1521.0824  1045.7739 34.6958 1.1046
-34920.04 3910.00 1521.2471  1045.8193 34.6960 1.1009
-34920.04 3920.00 1521.4130  1045.8646 34.6962 1.0973
-34920.04 3930.00 1521.5791  1045.9098 34.6964 1.0936
-34920.04 3940.00 1521.7452  1045.9550 34.6966 1.0900
-34920.04 3950.00 1521.9113  1046.0002 34.6968 1.0864
-34920.04 3960.00 1522.0773  1046.0454 34.6971 1.0827
-34920.04 3970.00 1522.2434  1046.0906 34.6973 1.0791
-34920.04 3980.00 1522.4095  1046.1358 34.6975 1.0754
-34920.04 3990.00 1522.5756  1046.1810 34.6977 1.0718
-34920.04 4000.00 1522.7417  1046.2262 34.6979 1.0682
-34920.04 4010.00 1522.9078  1046.2714 34.6981 1.0645
-34920.04 4020.00 1523.0739  1046.3166 34.6984 1.0609
-34920.04 4030.00 1523.2400  1046.3618 34.6986 1.0572
-34920.04 4040.00 1523.4061  1046.4070 34.6988 1.0536
-34920.04 4050.00 1523.5722  1046.4522 34.6990 1.0500
-34920.04 4060.00 1523.7382  1046.4974 34.6992 1.0463
-34920.04 4070.00 1523.9043  1046.5426 34.6994 1.0427
-34920.04 4080.00 1524.0704  1046.5878 34.6997 1.0390
-34920.04 4090.00 1524.2365  1046.6330 34.6999 1.0354
-34920.04 4100.00 1524.4026  1046.6783 34.7001 1.0318
-34920.04 4110.00 1524.5687  1046.7235 34.7003 1.0281
-34920.04 4120.00 1524.7348  1046.7687 34.7005 1.0245
-34920.04 4130.00 1524.9009  1046.8139 34.7007 1.0209
-34920.04 4140.00 1525.0670  1046.8591 34.7010 1.0172
-34920.04 4150.00 1525.2331  1046.9043 34.7012 1.0136
-34920.04 4160.00 1525.3992  1046.9495 34.7014 1.0099
-34920.04 4170.00 1525.5652  1046.9947 34.7016 1.0063
-34920.04 4180.00 1525.7313  1047.0399 34.7018 1.0027
-34920.04 4190.00 1525.8974  1047.0851 34.7020 0.9990
-34920.04 4200.00 1526.0635  1047.1303 34.7023 0.9954
-34920.04 4210.00 1526.2296  1047.1755 34.7025 0.9917
-34920.04 4220.00 1526.3957  1047.2207 34.7027 0.9881
-34920.04 4230.00 1526.5618  1047.2659 34.7029 0.9845
-34920.04 4240.00 1526.7279  1047.3111 34.7031 0.9808
-34920.04 4250.00 1526.8940  1047.3563 34.7033 0.9772
-34920.04 4260.00 1527.0601  1047.4015 34.7036 0.9735
-34920.04 4270.00 1527.2294  1047.4465 34.7037 0.9705
-34920.04 4280.00 1527.4012  1047.4912 34.7039 0.9678
-34920.04 4290.00 1527.5730  1047.5360 34.7041 0.9651
-34920.04 4300.00 1527.7448  1047.5807 34.7042 0.9624
-34920.04 4310.00 1527.9166  1047.6255 34.7044 0.9598
-34920.04 4320.00 1528.0884  1047.6703 34.7045 0.9571
-34920.04 4330.00 1528.2602  1047.7150 34.7047 0.9544
-34920.04 4340.00 1528.4320  1047.7598 34.7049 0.9518
-34920.04 4350.00 1528.6038  1047.8045 34.7050 0.9491
-34920.04 4360.00 1528.7756  1047.8493 34.7052 0.9464
-34920.04 4370.00 1528.9474  1047.8940 34.7053 0.9438
-34920.04 4380.00 1529.1192  1047.9388 34.7055 0.9411
-34920.04 4390.00 1529.2909  1047.9835 34.7057 0.9384
-34920.04 4400.00 1529.4627  1048.0283 34.7058 0.9358
-34920.04 4410.00 1529.6345  1048.0730 34.7060 0.9331
-34920.04 4420.00 1529.8063  1048.1178 34.7061 0.9304
-34920.04 4430.00 1529.9781  1048.1626 34.7063 0.9278
-34920.04 4440.00 1530.1499  1048.2073 34.7065 0.9251
-34920.04 4450.00 1530.3217  1048.2521 34.7066 0.9224
-34920.04 4460.00 1530.4935  1048.2968 34.7068 0.9198
-34920.04 4470.00 1530.6653  1048.3416 34.7069 0.9171
-34920.04 4480.00 1530.8371  1048.3863 34.7071 0.9144
-34920.04 4490.00 1531.0089  1048.4311 34.7073 0.9118
-34920.04 4500.00 1531.1807  1048.4758 34.7074 0.9091
-34920.04 4510.00 1531.3525  1048.5206 34.7076 0.9064
-34920.04 4520.00 1531.5243  1048.5654 34.7077 0.9038
-34920.04 4530.00 1531.6961  1048.6101 34.7079 0.9011
-34920.04 4540.00 1531.8678  1048.6549 34.7081 0.8984
-34920.04 4550.00 1532.0396  1048.6996 34.7082 0.8958
-34920.04 4560.00 1532.2114  1048.7444 34.7084 0.8931
-34920.04 4570.00 1532.3832  1048.7891 34.7085 0.8904
-34920.04 4580.00 1532.5550  1048.8339 34.7087 0.8877
-34920.04 4590.00 1532.7268  1048.8786 34.7089 0.8851
-34920.04 4600.00 1532.8986  1048.9234 34.7090 0.8824
-34920.04 4610.00 1533.0704  1048.9682 34.7092 0.8797
-34920.04 4620.00 1533.2422  1049.0129 34.7093 0.8771
-34920.04 4630.00 1533.4140  1049.0577 34.7095 0.8744
-34920.04 4640.00 1533.5858  1049.1024 34.7097 0.8717
-34920.04 4650.00 1533.7704  1049.1463 34.7097 0.8717
-34920.04 4660.00 1533.9553  1049.1902 34.7097 0.8717
-34920.04 4670.00 1534.1402  1049.2340 34.7097 0.8717
-34920.04 4680.00 1534.3252  1049.2779 34.7097 0.8717
-34920.04 4690.00 1534.5101  1049.3218 34.7097 0.8717
-34920.04 4700.00 1534.6950  1049.3656 34.7097 0.8717
-34920.04 4710.00 1534.8799  1049.4095 34.7097 0.8717
-34920.04 4720.00 1535.0649  1049.4533 34.7097 0.8717
-34920.04 4730.00 1535.2498  1049.4972 34.7097 0.8717
-34920.04 4740.00 1535.4347  1049.5411 34.7097 0.8717
-34920.04 4750.00 1535.6196  1049.5849 34.7097 0.8717
-34920.04 4760.00 1535.8046  1049.6288 34.7097 0.8717
-34920.04 4770.00 1535.9895  1049.6726 34.7097 0.8717
-34920.04 4780.00 1536.1744  1049.7165 34.7097 0.8717
-34920.04 4790.00 1536.3593  1049.7604 34.7097 0.8717
-34920.04 4800.00 1536.5443  1049.8042 34.7097 0.8717
-34920.04 4810.00 1536.7292  1049.8481 34.7097 0.8717
-34920.04 4820.00 1536.9141  1049.8920 34.7097 0.8717
-34920.04 4830.00 1537.0990  1049.9358 34.7097 0.8717
-34920.04 4840.00 1537.2840  1049.9797 34.7097 0.8717
-34920.04 4850.00 1537.4689  1050.0235 34.7097 0.8717
-29893.38 0.00 1543.3053  1022.8130 35.7951 28.5463
-29893.38 10.00 1543.4486  1022.8616 35.7965 28.5328
-29893.38 20.00 1543.5839  1022.9148 35.8017 28.5136
-29893.38 30.00 1543.6745  1022.9841 35.8167 28.4684
-29893.38 40.00 1543.6807  1023.0772 35.8434 28.3778
-29893.38 50.00 1543.5838  1023.1959 35.8807 28.2340
-29893.38 60.00 1543.3927  1023.3376 35.9279 28.0423
-29893.38 70.00 1543.1244  1023.5008 35.9864 27.8104
-29893.38 80.00 1542.7540  1023.6886 36.0563 27.5279
-29893.38 90.00 1542.2254  1023.9056 36.1342 27.1725
-29893.38 100.00 1541.4706  1024.1552 36.2149 26.7193
-29893.38 110.00 1540.4484  1024.4293 36.2858 26.1605
-29893.38 120.00 1539.2483  1024.6988 36.3306 25.5470
-29893.38 130.00 1538.0557  1024.9326 36.3435 24.9627
-29893.38 140.00 1536.9895  1025.1223 36.3308 24.4524
-29893.38 150.00 1536.0623  1025.2687 36.2949 24.0199
-29893.38 160.00 1535.0968  1025.4055 36.2464 23.5831
-29893.38 170.00 1534.1004  1025.5346 36.1878 23.1428
-29893.38 180.00 1532.8443  1025.6682 36.1080 22.6214
-29893.38 190.00 1531.5064  1025.8034 36.0215 22.0743
-29893.38 200.00 1529.8936  1025.9483 35.9228 21.4441
-29893.38 210.00 1528.0337  1026.1021 35.8131 20.7391
-29893.38 220.00 1526.1738  1026.2559 35.7035 20.0341
-29893.38 230.00 1524.0530  1026.4153 35.5954 19.2717
-29893.38 240.00 1521.8353  1026.5768 35.4880 18.4879
-29893.38 250.00 1519.6175  1026.7383 35.3805 17.7042
-29893.38 260.00 1517.4205  1026.8958 35.2801 16.9395
-29893.38 270.00 1515.2848  1027.0417 35.2005 16.2313
-29893.38 280.00 1513.1491  1027.1876 35.1209 15.5231
-29893.38 290.00 1511.0134  1027.3334 35.0413 14.8148
-29893.38 300.00 1508.8808  1027.4791 34.9619 14.1078
-29893.38 310.00 1507.1925  1027.5974 34.9159 13.5725
-29893.38 320.00 1505.5043  1027.7158 34.8700 13.0372
-29893.38 330.00 1503.8160  1027.8341 34.8240 12.5019
-29893.38 340.00 1502.1277  1027.9524 34.7780 11.9666
-29893.38 350.00 1500.4395  1028.0707 34.7321 11.4312
-29893.38 360.00 1499.3070  1028.1644 34.7097 11.0731
-29893.38 370.00 1498.2151  1028.2562 34.6891 10.7278
-29893.38 380.00 1497.1231  1028.3481 34.6685 10.3826
-29893.38 390.00 1496.0312  1028.4399 34.6479 10.0373
-29893.38 400.00 1494.9393  1028.5318 34.6272 9.6920
-29893.38 410.00 1493.8510  1028.6235 34.6067 9.3478
-29893.38 420.00 1493.2814  1028.6959 34.5998 9.1525
-29893.38 430.00 1492.7119  1028.7683 34.5928 8.9572
-29893.38 440.00 1492.1423  1028.8408 34.5858 8.7619
-29893.38 450.00 1491.5727  1028.9132 34.5789 8.5665
-29893.38 460.00 1491.0031  1028.9856 34.5719 8.3712
-29893.38 470.00 1490.4336  1029.0580 34.5650 8.1759
-29893.38 480.00 1489.9329  1029.1279 34.5591 7.9996
-29893.38 490.00 1489.6358  1029.1901 34.5563 7.8793
-29893.38 500.00 1489.3386  1029.2523 34.5535 7.7590
-29893.38 510.00 1489.0415  1029.3146 34.5508 7.6387
-29893.38 520.00 1488.7444  1029.3768 34.5480 7.5184
-29893.38 530.00 1488.4472  1029.4390 34.5452 7.3981
-29893.38 540.00 1488.1501  1029.5013 34.5425 7.2778
-29893.38 550.00 1487.8529  1029.5635 34.5397 7.1575
-29893.38 560.00 1487.6317  1029.6226 34.5376 7.0582
-29893.38 570.00 1487.4385  1029.6806 34.5357 6.9666
-29893.38 580.00 1487.2454  1029.7386 34.5339 6.8751
-29893.38 590.00 1487.0523  1029.7966 34.5320 6.7835
-29893.38 600.00 1486.8592  1029.8545 34.5302 6.6919
-29893.38 610.00 1486.6661  1029.9125 34.5283 6.6004
-29893.38 620.00 1486.4730  1029.9705 34.5265 6.5088
-29893.38 630.00 1486.2799  1030.0284 34.5246 6.4172
-29893.38 640.00 1486.1208  1030.0852 34.5232 6.3349
-29893.38 650.00 1485.9922  1030.1409 34.5222 6.2608
-29893.38 660.00 1485.8636  1030.1966 34.5211 6.1867
-29893.38 670.00 1485.7350  1030.2523 34.5201 6.1127
-29893.38 680.00 1485.6064  1030.3080 34.5190 6.0386
-29893.38 690.00 1485.4778  1030.3637 34.5180 5.9645
-29893.38 700.00 1485.3492  1030.4194 34.5169 5.8904
-29893.38 710.00 1485.2206  1030.4751 34.5159 5.8164
-29893.38 720.00 1485.0920  1030.5308 34.5149 5.7423
-29893.38 730.00 1485.0045  1030.5853 34.5145 5.6790
-29893.38 740.00 1484.9299  1030.6395 34.5143 5.6190
-29893.38 750.00 1484.8553  1030.6936 34.5142 5.5591
-29893.38 760.00 1484.7807  1030.7478 34.5140 5.4991
-29893.38 770.00 1484.7061  1030.8020 34.5138 5.4392
-29893.38 780.00 1484.6316  1030.8561 34.5137 5.3792
-29893.38 790.00 1484.5570  1030.9103 34.5135 5.3193
-29893.38 800.00 1484.4824  1030.9645 34.5133 5.2593
-29893.38 810.00 1484.4078  1031.0187 34.5132 5.1994
-29893.38 820.00 1484.3557  1031.0723 34.5134 5.1452
-29893.38 830.00 1484.3217  1031.1254 34.5139 5.0956
-29893.38 840.00 1484.2878  1031.1786 34.5144 5.0461
-29893.38 850.00 1484.2538  1031.2317 34.5150 4.9965
-29893.38 860.00 1484.2199  1031.2849 34.5155 4.9470
-29893.38 870.00 1484.1859  1031.3380 34.5160 4.8974
-29893.38 880.00 1484.1520  1031.3912 34.5165 4.8479
-29893.38 890.00 1484.1181  1031.4443 34.5171 4.7983
-29893.38 900.00 1484.0841  1031.4975 34.5176 4.7488
-29893.38 910.00 1484.0509  1031.5506 34.5181 4.6994
-29893.38 920.00 1484.0445  1031.6031 34.5191 4.6568
-29893.38 930.00 1484.0380  1031.6555 34.5200 4.6143
-29893.38 940.00 1484.0316  1031.7080 34.5210 4.5717
-29893.38 950.00 1484.0252  1031.7604 34.5219 4.5292
-29893.38 960.00 1484.0188  1031.8129 34.5228 4.4866
-29893.38 970.00 1484.0123  1031.8654 34.5238 4.4440
-29893.38 980.00 1484.0059  1031.9178 34.5247 4.4015
-29893.38 990.00 1483.9995  1031.9703 34.5257 4.3589
-29893.38 1000.00 1483.9931  1032.0227 34.5266 4.3164
-29893.38 1010.00 1483.9921  1032.0750 34.5276 4.2752
-29893.38 1020.00 1484.0049  1032.1270 34.5288 4.2375
-29893.38 1030.00 1484.0176  1032.1789 34.5300 4.1998
-29893.38 1040.00 1484.0304  1032.2308 34.5311 4.1621
-29893.38 1050.00 1484.0432  1032.2827 34.5323 4.1244
-29893.38 1060.00 1484.0559  1032.3347 34.5334 4.0867
-29893.38 1070.00 1484.0687  1032.3866 34.5346 4.0490
-29893.38 1080.00 1484.0815  1032.4385 34.5358 4.0113
-29893.38 1090.00 1484.0942  1032.4904 34.5369 3.9736
-29893.38 1100.00 1484.1070  1032.5423 34.5381 3.9359
-29893.38 1110.00 1484.1263  1032.5941 34.5393 3.8998
-29893.38 1120.00 1484.1550  1032.6455 34.5405 3.8661
-29893.38 1130.00 1484.1838  1032.6969 34.5418 3.8324
-29893.38 1140.00 1484.2125  1032.7484 34.5430 3.7987
-29893.38 1150.00 1484.2412  1032.7998 34.5443 3.7650
-29893.38 1160.00 1484.2699  1032.8512 34.5455 3.7314
-29893.38 1170.00 1484.2987  1032.9027 34.5468 3.6977
-29893.38 1180.00 1484.3274  1032.9541 34.5480 3.6640
-29893.38 1190.00 1484.3561  1033.0055 34.5493 3.6303
-29893.38 1200.00 1484.3849  1033.0570 34.5505 3.5966
-29893.38 1210.00 1484.4203  1033.1082 34.5518 3.5645
-29893.38 1220.00 1484.4642  1033.1591 34.5531 3.5346
-29893.38 1230.00 1484.5081  1033.2100 34.5544 3.5046
-29893.38 1240.00 1484.5519  1033.2610 34.5557 3.4746
-29893.38 1250.00 1484.5958  1033.3119 34.5569 3.4447
-29893.38 1260.00 1484.6397  1033.3629 34.5582 3.4147
-29893.38 1270.00 1484.6835  1033.4138 34.5595 3.3847
-29893.38 1280.00 1484.7274  1033.4648 34.5608 3.3548
-29893.38 1290.00 1484.7713  1033.5157 34.5621 3.3248
-29893.38 1300.00 1484.8151  1033.5666 34.5634 3.2948
-29893.38 1310.00 1484.8647  1033.6174 34.5647 3.2662
-29893.38 1320.00 1484.9236  1033.6679 34.5659 3.2399
-29893.38 1330.00 1484.9825  1033.7183 34.5672 3.2135
-29893.38 1340.00 1485.0415  1033.7688 34.5685 3.1872
-29893.38 1350.00 1485.1004  1033.8192 34.5698 3.1609
-29893.38 1360.00 1485.1593  1033.8697 34.5711 3.1345
-29893.38 1370.00 1485.2182  1033.9201 34.5724 3.1082
-29893.38 1380.00 1485.2771  1033.9706 34.5737 3.0818
-29893.38 1390.00 1485.3360  1034.0210 34.5750 3.0555
-29893.38 1400.00 1485.3949  1034.0715 34.5763 3.0291
-29893.38 1410.00 1485.4551  1034.1219 34.5776 3.0031
-29893.38 1420.00 1485.5291  1034.1719 34.5788 2.9803
-29893.38 1430.00 1485.6031  1034.2218 34.5801 2.9576
-29893.38 1440.00 1485.6771  1034.2717 34.5813 2.9348
-29893.38 1450.00 1485.7511  1034.3217 34.5826 2.9120
-29893.38 1460.00 1485.8252  1034.3716 34.5838 2.8892
-29893.38 1470.00 1485.8992  1034.4216 34.5851 2.8665
-29893.38 1480.00 1485.9732  1034.4715 34.5864 2.8437
-29893.38 1490.00 1486.0472  1034.5215 34.5876 2.8209
-29893.38 1500.00 1486.1212  1034.5714 34.5889 2.7981
-29893.38 1510.00 1486.1952  1034.6214 34.5901 2.7754
-29893.38 1520.00 1486.2736  1034.6711 34.5914 2.7536
-29893.38 1530.00 1486.3630  1034.7205 34.5925 2.7345
-29893.38 1540.00 1486.4524  1034.7699 34.5937 2.7153
-29893.38 1550.00 1486.5417  1034.8193 34.5949 2.6961
-29893.38 1560.00 1486.6311  1034.8687 34.5961 2.6769
-29893.38 1570.00 1486.7205  1034.9181 34.5972 2.6577
-29893.38 1580.00 1486.8098  1034.9674 34.5984 2.6385
-29893.38 1590.00 1486.8992  1035.0168 34.5996 2.6193
-29893.38 1600.00 1486.9886  1035.0662 34.6008 2.6001
-29893.38 1610.00 1487.0780  1035.1156 34.6019 2.5810
-29893.38 1620.00 1487.1673  1035.1650 34.6031 2.5618
-29893.38 1630.00 1487.2567  1035.2144 34.6043 2.5426
-29893.38 1640.00 1487.3550  1035.2634 34.6054 2.5254
-29893.38 1650.00 1487.4597  1035.3122 34.6064 2.5098
-29893.38 1660.00 1487.5644  1035.3610 34.6075 2.4941
-29893.38 1670.00 1487.6691  1035.4098 34.6085 2.4785
-29893.38 1680.00 1487.7738  1035.4586 34.6095 2.4628
-29893.38 1690.00 1487.8785  1035.5074 34.6106 2.4471
-29893.38 1700.00 1487.9833  1035.5562 34.6116 2.4315
-29893.38 1710.00 1488.0880  1035.6050 34.6127 2.4158
-29893.38 1720.00 1488.1927  1035.6538 34.6137 2.4001
-29893.38 1730.00 1488.2974  1035.7026 34.6148 2.3845
-29893.38 1740.00 1488.4021  1035.7514 34.6158 2.3688
-29893.38 1750.00 1488.5068  1035.8002 34.6168 2.3531
-29893.38 1760.00 1488.6115  1035.8490 34.6179 2.3375
-29893.38 1770.00 1488.7231  1035.8975 34.6188 2.3234
-29893.38 1780.00 1488.8420  1035.9457 34.6197 2.3109
-29893.38 1790.00 1488.9609  1035.9939 34.6206 2.2984
-29893.38 1800.00 1489.0797  1036.0421 34.6215 2.2860
-29893.38 1810.00 1489.1986  1036.0903 34.6224 2.2735
-29893.38 1820.00 1489.3175  1036.1385 34.6233 2.2610
-29893.38 1830.00 1489.4364  1036.1868 34.6241 2.2486
-29893.38 1840.00 1489.5553  1036.2350 34.6250 2.2361
-29893.38 1850.00 1489.6741  1036.2832 34.6259 2.2237
-29893.38 1860.00 1489.7930  1036.3314 34.6268 2.2112
-29893.38 1870.00 1489.9119  1036.3796 34.6277 2.1987
-29893.38 1880.00 1490.0308  1036.4278 34.6286 2.1863
-29893.38 1890.00 1490.1497  1036.4760 34.6294 2.1738
-29893.38 1900.00 1490.2685  1036.5242 34.6303 2.1613
-29893.38 1910.00 1490.3874  1036.5725 34.6312 2.1489
-29893.38 1920.00 1490.5133  1036.6204 34.6320 2.1380
-29893.38 1930.00 1490.6441  1036.6680 34.6327 2.1282
-29893.38 1940.00 1490.7749  1036.7157 34.6334 2.1183
-29893.38 1950.00 1490.9058  1036.7634 34.6342 2.1085
-29893.38 1960.00 1491.0366  1036.8111 34.6349 2.0987
-29893.38 1970.00 1491.1674  1036.8587 34.6356 2.0889
-29893.38 1980.00 1491.2983  1036.9064 34.6363 2.0791
-29893.38 1990.00 1491.4291  1036.9541 34.6370 2.0693
-29893.38 2000.00 1491.5599  1037.0018 34.6378 2.0594
-29893.38 2010.00 1491.6908  1037.0494 34.6385 2.0496
-29893.38 2020.00 1491.8216  1037.0971 34.6392 2.0398
-29893.38 2030.00 1491.9524  1037.1448 34.6399 2.0300
-29893.38 2040.00 1492.0833  1037.1925 34.6406 2.0202
-29893.38 2050.00 1492.2141  1037.2401 34.6413 2.0104
-29893.38 2060.00 1492.3449  1037.2878 34.6421 2.0005
-29893.38 2070.00 1492.4758  1037.3355 34.6428 1.9907
-29893.38 2080.00 1492.6066  1037.3832 34.6435 1.9809
-29893.38 2090.00 1492.7429  1037.4306 34.6441 1.9723
-29893.38 2100.00 1492.8829  1037.4778 34.6447 1.9644
-29893.38 2110.00 1493.0229  1037.5250 34.6453 1.9566
-29893.38 2120.00 1493.1630  1037.5722 34.6458 1.9487
-29893.38 2130.00 1493.3030  1037.6194 34.6464 1.9409
-29893.38 2140.00 1493.4430  1037.6666 34.6469 1.9331
-29893.38 2150.00 1493.5830  1037.7138 34.6475 1.9252
-29893.38 2160.00 1493.7231  1037.7610 34.6481 1.9174
-29893.38 2170.00 1493.8631  1037.8083 34.6486 1.9095
-29893.38 2180.00 1494.0031  1037.8555 34.6492 1.9017
-29893.38 2190.00 1494.1431  1037.9027 34.6498 1.8938
-29893.38 2200.00 1494.2831  1037.9499 34.6503 1.8860
-29893.38 2210.00 1494.4232  1037.9971 34.6509 1.8782
-29893.38 2220.00 1494.5632  1038.0443 34.6514 1.8703
-29893.38 2230.00 1494.7032  1038.0915 34.6520 1.8625
-29893.38 2240.00 1494.8432  1038.1387 34.6526 1.8546
-29893.38 2250.00 1494.9832  1038.1859 34.6531 1.8468
-29893.38 2260.00 1495.1233  1038.2331 34.6537 1.8389
-29893.38 2270.00 1495.2633  1038.2804 34.6543 1.8311
-29893.38 2280.00 1495.4059  1038.3274 34.6548 1.8238
-29893.38 2290.00 1495.5529  1038.3742 34.6552 1.8174
-29893.38 2300.00 1495.6999  1038.4210 34.6556 1.8110
-29893.38 2310.00 1495.8469  1038.4678 34.6560 1.8045
-29893.38 2320.00 1495.9938  1038.5146 34.6565 1.7981
-29893.38 2330.00 1496.1408  1038.5614 34.6569 1.7917
-29893.38 2340.00 1496.2878  1038.6082 34.6573 1.7853
-29893.38 2350.00 1496.4348  1038.6551 34.6578 1.7789
-29893.38 2360.00 1496.5817  1038.7019 34.6582 1.7724
-29893.38 2370.00 1496.7287  1038.7487 34.6586 1.7660
-29893.38 2380.00 1496.8757  1038.7955 34.6590 1.7596
