-50000.00 0.00 55559.75 7990.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
-50000.00 1660.00 1486.9131  1035.3691 34.5903 2.3480
-50000.00 1670.00 1487.0338  1035.4179 34.5918 2.3358
-50000.00 1680.00 1487.1546  1035.4666 34.5933 2.3237
-50000.00 1690.00 1487.2753  1035.5154 34.5948 2.3116
-50000.00 1700.00 1487.3960  1035.5641 34.5963 2.2994
-50000.00 1710.00 1487.5167  1035.6129 34.5978 2.2873
-50000.00 1720.00 1487.6375  1035.6616 34.5993 2.2751
-50000.00 1730.00 1487.7582  1035.7104 34.6008 2.2630
-50000.00 1740.00 1487.8789  1035.7591 34.6023 2.2509
-50000.00 1750.00 1487.9996  1035.8078 34.6038 2.2387
-50000.00 1760.00 1488.1204  1035.8566 34.6053 2.2266
-50000.00 1770.00 1488.2469  1035.9050 34.6067 2.2158
-50000.00 1780.00 1488.3795  1035.9531 34.6078 2.2063
-50000.00 1790.00 1488.5121  1036.0012 34.6090 2.1969
-50000.00 1800.00 1488.6448  1036.0493 34.6102 2.1874
-50000.00 1810.00 1488.7774  1036.0974 34.6114 2.1780
-50000.00 1820.00 1488.9100  1036.1455 34.6125 2.1686
-50000.00 1830.00 1489.0427  1036.1935 34.6137 2.1591
-50000.00 1840.00 1489.1753  1036.2416 34.6149 2.1497
-50000.00 1850.00 1489.3079  1036.2897 34.6161 2.1403
-50000.00 1860.00 1489.4406  1036.3378 34.6172 2.1308
-50000.00 1870.00 1489.5732  1036.3859 34.6184 2.1214
-50000.00 1880.00 1489.7058  1036.4340 34.6196 2.1119
-50000.00 1890.00 1489.8384  1036.4821 34.6208 2.1025
-50000.00 1900.00 1489.9711  1036.5301 34.6219 2.0931
-50000.00 1910.00 1490.1037  1036.5782 34.6231 2.0836
-50000.00 1920.00 1490.2411  1036.6260 34.6241 2.0752
-50000.00 1930.00 1490.3818  1036.6735 34.6250 2.0676
-50000.00 1940.00 1490.5225  1036.7211 34.6259 2.0599
-50000.00 1950.00 1490.6632  1036.7686 34.6267 2.0523
-50000.00 1960.00 1490.8039  1036.8162 34.6276 2.0446
-50000.00 1970.00 1490.9446  1036.8637 34.6285 2.0370
-50000.00 1980.00 1491.0853  1036.9113 34.6294 2.0293
