-50000.00 0.00 55559.75 7990.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
-50000.00 1680.00 1487.5586  1035.4681 34.6091 2.4109
-50000.00 1690.00 1487.6543  1035.5173 34.6102 2.3931
-50000.00 1700.00 1487.7500  1035.5664 34.6114 2.3754
-50000.00 1710.00 1487.8457  1035.6156 34.6126 2.3576
-50000.00 1720.00 1487.9413  1035.6648 34.6138 2.3398
-50000.00 1730.00 1488.0370  1035.7140 34.6149 2.3221
-50000.00 1740.00 1488.1327  1035.7632 34.6161 2.3043
-50000.00 1750.00 1488.2284  1035.8124 34.6173 2.2866
-50000.00 1760.00 1488.3240  1035.8616 34.6185 2.2688
-50000.00 1770.00 1488.4287  1035.9104 34.6195 2.2531
-50000.00 1780.00 1488.5430  1035.9589 34.6205 2.2396
-50000.00 1790.00 1488.6572  1036.0074 34.6215 2.2260
-50000.00 1800.00 1488.7714  1036.0558 34.6225 2.2125
-50000.00 1810.00 1488.8856  1036.1043 34.6235 2.1989
-50000.00 1820.00 1488.9998  1036.1528 34.6245 2.1854
-50000.00 1830.00 1489.1140  1036.2013 34.6255 2.1718
-50000.00 1840.00 1489.2283  1036.2497 34.6265 2.1583
-50000.00 1850.00 1489.3425  1036.2982 34.6276 2.1448
-50000.00 1860.00 1489.4567  1036.3467 34.6286 2.1312
-50000.00 1870.00 1489.5709  1036.3951 34.6296 2.1177
-50000.00 1880.00 1489.6851  1036.4436 34.6306 2.1041
-50000.00 1890.00 1489.7993  1036.4921 34.6316 2.0906
-50000.00 1900.00 1489.9136  1036.5405 34.6326 2.0770
-50000.00 1910.00 1490.0278  1036.5890 34.6336 2.0635
-50000.00 1920.00 1490.1524  1036.6371 34.6344 2.0523
-50000.00 1930.00 1490.2844  1036.6848 34.6352 2.0427
-50000.00 1940.00 1490.4165  1036.7326 34.6361 2.0331
-50000.00 1950.00 1490.5485  1036.7803 34.6369 2.0236
-50000.00 1960.00 1490.6806  1036.8280 34.6377 2.0140
-50000.00 1970.00 1490.8126  1036.8758 34.6385 2.0044
-50000.00 1980.00 1490.9446  1036.9235 34.6393 1.9949
-50000.00 1990.00 1491.0767  1036.9713 34.6401 1.9853
-50000.00 2000.00 1491.2087  1037.0190 34.6409 1.9757
-50000.00 2010.00 1491.3407  1037.0668 34.6417 1.9661
-50000.00 2020.00 1491.4728  1037.1145 34.6425 1.9566
-50000.00 2030.00 1491.6048  1037.1622 34.6433 1.9470
-50000.00 2040.00 1491.7369  1037.2100 34.6441 1.9374
-50000.00 2050.00 1491.8689  1037.2577 34.6450 1.9279
-50000.00 2060.00 1492.0009  1037.3055 34.6458 1.9183
-50000.00 2070.00 1492.1330  1037.3532 34.6466 1.9087
-50000.00 2080.00 1492.2650  1037.4010 34.6474 1.8991
-50000.00 2090.00 1492.4053  1037.4483 34.6481 1.8914
-50000.00 2100.00 1492.5512  1037.4955 34.6487 1.8848
-50000.00 2110.00 1492.6972  1037.5426 34.6494 1.8783
-50000.00 2120.00 1492.8431  1037.5897 34.6500 1.8717
-50000.00 2130.00 1492.9890  1037.6368 34.6506 1.8652
-50000.00 2140.00 1493.1349  1037.6840 34.6513 1.8586
-50000.00 2150.00 1493.2808  1037.7311 34.6519 1.8521
-50000.00 2160.00 1493.4267  1037.7782 34.6525 1.8455
-50000.00 2170.00 1493.5726  1037.8253 34.6532 1.8390
-50000.00 2180.00 1493.7185  1037.8725 34.6538 1.8324
-50000.00 2190.00 1493.8645  1037.9196 34.6545 1.8259
-50000.00 2200.00 1494.0104  1037.9667 34.6551 1.8193
-50000.00 2210.00 1494.1563  1038.0138 34.6557 1.8128
-50000.00 2220.00 1494.3022  1038.0609 34.6564 1.8062
-50000.00 2230.00 1494.4481  1038.1081 34.6570 1.7997
-50000.00 2240.00 1494.5940  1038.1552 34.6576 1.7931
-50000.00 2250.00 1494.7399  1038.2023 34.6583 1.7866
-50000.00 2260.00 1494.8858  1038.2494 34.6589 1.7800
-50000.00 2270.00 1495.0318  1038.2966 34.6596 1.7735
-50000.00 2280.00 1495.1814  1038.3435 34.6601 1.7677
-50000.00 2290.00 1495.3370  1038.3901 34.6606 1.7632
-50000.00 2300.00 1495.4927  1038.4367 34.6611 1.7587
-50000.00 2310.00 1495.6483  1038.4833 34.6616 1.7541
-50000.00 2320.00 1495.8040  1038.5299 34.6621 1.7496
-50000.00 2330.00 1495.9596  1038.5766 34.6626 1.7451
-50000.00 2340.00 1496.1153  1038.6232 34.6630 1.7406
-50000.00 2350.00 1496.2709  1038.6698 34.6635 1.7361
-50000.00 2360.00 1496.4266  1038.7164 34.6640 1.7316
-50000.00 2370.00 1496.5823  1038.7630 34.6645 1.7271
-50000.00 2380.00 1496.7379  1038.8096 34.6650 1.7226
-50000.00 2390.00 1496.8936  1038.8562 34.6655 1.7181
-50000.00 2400.00 1497.0492  1038.9028 34.6659 1.7136
-50000.00 2410.00 1497.2049  1038.9494 34.6664 1.7091
-50000.00 2420.00 1497.3605  1038.9961 34.6669 1.7045
-50000.00 2430.00 1497.5162  1039.0427 34.6674 1.7000
-50000.00 2440.00 1497.6719  1039.0893 34.6679 1.6955
-50000.00 2450.00 1497.8275  1039.1359 34.6684 1.6910
-50000.00 2460.00 1497.9832  1039.1825 34.6689 1.6865
-50000.00 2470.00 1498.1388  1039.2291 34.6693 1.6820
-50000.00 2480.00 1498.2945  1039.2757 34.6698 1.6775
-50000.00 2490.00 1498.4501  1039.3223 34.6703 1.6730
-50000.00 2500.00 1498.6128  1039.3685 34.6706 1.6699
-50000.00 2510.00 1498.7764  1039.4146 34.6710 1.6670
-50000.00 2520.00 1498.9400  1039.4607 34.6713 1.6641
-50000.00 2530.00 1499.1036  1039.5069 34.6716 1.6612
-50000.00 2540.00 1499.2673  1039.5530 34.6719 1.6583
-50000.00 2550.00 1499.4309  1039.5991 34.6722 1.6554
-50000.00 2560.00 1499.5945  1039.6452 34.6725 1.6525
-50000.00 2570.00 1499.7581  1039.6913 34.6729 1.6496
-50000.00 2580.00 1499.9218  1039.7374 34.6732 1.6468
-50000.00 2590.00 1500.0854  1039.7835 34.6735 1.6439
-50000.00 2600.00 1500.2490  1039.8296 34.6738 1.6410
-50000.00 2610.00 1500.4126  1039.8757 34.6741 1.6381
-50000.00 2620.00 1500.5763  1039.9219 34.6744 1.6352
-50000.00 2630.00 1500.7399  1039.9680 34.6748 1.6323
-50000.00 2640.00 1500.9035  1040.0141 34.6751 1.6294
-50000.00 2650.00 1501.0672  1040.0602 34.6754 1.6265
-50000.00 2660.00 1501.2308  1040.1063 34.6757 1.6236
-50000.00 2670.00 1501.3944  1040.1524 34.6760 1.6207
-50000.00 2680.00 1501.5580  1040.1985 34.6763 1.6178
-50000.00 2690.00 1501.7217  1040.2446 34.6767 1.6149
-50000.00 2700.00 1501.8853  1040.2908 34.6770 1.6121
-50000.00 2710.00 1502.0489  1040.3369 34.6773 1.6092
-50000.00 2720.00 1502.2125  1040.3830 34.6776 1.6063
-50000.00 2730.00 1502.3767  1040.4291 34.6779 1.6035
-50000.00 2740.00 1502.5473  1040.4746 34.6780 1.6020
-50000.00 2750.00 1502.7180  1040.5202 34.6782 1.6005
-50000.00 2760.00 1502.8887  1040.5658 34.6783 1.5990
-50000.00 2770.00 1503.0593  1040.6114 34.6784 1.5975
-50000.00 2780.00 1503.2300  1040.6570 34.6786 1.5960
-50000.00 2790.00 1503.4007  1040.7026 34.6787 1.5945
-50000.00 2800.00 1503.5713  1040.7482 34.6788 1.5930
-50000.00 2810.00 1503.7420  1040.7938 34.6790 1.5915
-50000.00 2820.00 1503.9127  1040.8394 34.6791 1.5900
-50000.00 2830.00 1504.0833  1040.8850 34.6792 1.5885
-50000.00 2840.00 1504.2540  1040.9306 34.6794 1.5870
-50000.00 2850.00 1504.4246  1040.9762 34.6795 1.5855
-50000.00 2860.00 1504.5953  1041.0218 34.6796 1.5840
-50000.00 2870.00 1504.7660  1041.0674 34.6798 1.5824
-50000.00 2880.00 1504.9366  1041.1130 34.6799 1.5809
-50000.00 2890.00 1505.1073  1041.1586 34.6800 1.5794
-50000.00 2900.00 1505.2780  1041.2042 34.6802 1.5779
-50000.00 2910.00 1505.4486  1041.2497 34.6803 1.5764
-50000.00 2920.00 1505.6193  1041.2953 34.6804 1.5749
-50000.00 2930.00 1505.7900  1041.3409 34.6806 1.5734
-50000.00 2940.00 1505.9606  1041.3865 34.6807 1.5719
-50000.00 2950.00 1506.1313  1041.4321 34.6808 1.5704
-50000.00 2960.00 1506.3019  1041.4777 34.6810 1.5689
-50000.00 2970.00 1506.4726  1041.5233 34.6811 1.5674
-50000.00 2980.00 1506.6433  1041.5689 34.6812 1.5659
-50000.00 2990.00 1506.8139  1041.6145 34.6813 1.5644
-50000.00 3000.00 1506.9891  1041.6597 34.6814 1.5637
-50000.00 3010.00 1507.1643  1041.7049 34.6814 1.5630
-50000.00 3020.00 1507.3395  1041.7501 34.6815 1.5623
-50000.00 3030.00 1507.5148  1041.7953 34.6815 1.5616
-50000.00 3040.00 1507.6900  1041.8405 34.6816 1.5609
-50000.00 3050.00 1507.8653  1041.8857 34.6816 1.5602
-50000.00 3060.00 1508.0405  1041.9309 34.6816 1.5595
-50000.00 3070.00 1508.2158  1041.9761 34.6817 1.5588
-50000.00 3080.00 1508.3910  1042.0213 34.6817 1.5581
-50000.00 3090.00 1508.5662  1042.0665 34.6818 1.5573
-50000.00 3100.00 1508.7415  1042.1117 34.6818 1.5566
-50000.00 3110.00 1508.9167  1042.1569 34.6818 1.5559
-50000.00 3120.00 1509.0920  1042.2021 34.6819 1.5552
-50000.00 3130.00 1509.2672  1042.2473 34.6819 1.5545
-50000.00 3140.00 1509.4425  1042.2925 34.6820 1.5538
-50000.00 3150.00 1509.6177  1042.3377 34.6820 1.5531
-50000.00 3160.00 1509.7930  1042.3829 34.6820 1.5524
-50000.00 3170.00 1509.9682  1042.4281 34.6821 1.5517
-50000.00 3180.00 1510.1434  1042.4733 34.6821 1.5510
-50000.00 3190.00 1510.3187  1042.5185 34.6822 1.5503
-50000.00 3200.00 1510.4939  1042.5637 34.6822 1.5496
-50000.00 3210.00 1510.6692  1042.6089 34.6822 1.5489
-50000.00 3220.00 1510.8444  1042.6541 34.6823 1.5482
-50000.00 3230.00 1511.0197  1042.6993 34.6823 1.5475
-50000.00 3240.00 1511.1949  1042.7445 34.6824 1.5468
-50000.00 3250.00 1511.3701  1042.7897 34.6824 1.5461
-50000.00 3260.00 1511.5454  1042.8349 34.6824 1.5454
-50000.00 3270.00 1511.7206  1042.8801 34.6825 1.5447
-50000.00 3280.00 1511.8966  1042.9252 34.6825 1.5440
-50000.00 3290.00 1512.0730  1042.9701 34.6825 1.5432
-50000.00 3300.00 1512.2494  1043.0151 34.6826 1.5425
-50000.00 3310.00 1512.4259  1043.0601 34.6826 1.5418
-50000.00 3320.00 1512.6023  1043.1050 34.6826 1.5411
-50000.00 3330.00 1512.7788  1043.1500 34.6827 1.5404
-50000.00 3340.00 1512.9552  1043.1950 34.6827 1.5397
-50000.00 3350.00 1513.1317  1043.2400 34.6827 1.5390
-50000.00 3360.00 1513.3081  1043.2849 34.6828 1.5383
-50000.00 3370.00 1513.4845  1043.3299 34.6828 1.5376
-50000.00 3380.00 1513.6610  1043.3749 34.6828 1.5369
-50000.00 3390.00 1513.8374  1043.4198 34.6828 1.5362
-50000.00 3400.00 1514.0139  1043.4648 34.6829 1.5355
-50000.00 3410.00 1514.1903  1043.5098 34.6829 1.5348
-50000.00 3420.00 1514.3667  1043.5547 34.6829 1.5341
-50000.00 3430.00 1514.5432  1043.5997 34.6830 1.5334
-50000.00 3440.00 1514.7196  1043.6447 34.6830 1.5327
-50000.00 3450.00 1514.8961  1043.6896 34.6830 1.5320
-50000.00 3460.00 1515.0725  1043.7346 34.6831 1.5313
-50000.00 3470.00 1515.2490  1043.7796 34.6831 1.5306
-50000.00 3480.00 1515.4254  1043.8245 34.6831 1.5299
-50000.00 3490.00 1515.6018  1043.8695 34.6831 1.5292
-50000.00 3500.00 1515.7783  1043.9145 34.6832 1.5285
-50000.00 3510.00 1515.9547  1043.9594 34.6832 1.5278
-50000.00 3520.00 1516.1312  1044.0044 34.6832 1.5271
-50000.00 3530.00 1516.3076  1044.0494 34.6833 1.5264
-50000.00 3540.00 1516.4840  1044.0944 34.6833 1.5257
-50000.00 3550.00 1516.6605  1044.1393 34.6833 1.5250
-50000.00 3560.00 1516.8369  1044.1843 34.6834 1.5243
-50000.00 3570.00 1517.0134  1044.2293 34.6834 1.5236
-50000.00 3580.00 1517.1898  1044.2742 34.6834 1.5229
-50000.00 3590.00 1517.3674  1044.3190 34.6834 1.5222
-50000.00 3600.00 1517.5452  1044.3637 34.6835 1.5215
-50000.00 3610.00 1517.7230  1044.4084 34.6835 1.5209
-50000.00 3620.00 1517.9008  1044.4531 34.6835 1.5202
-50000.00 3630.00 1518.0786  1044.4979 34.6835 1.5195
-50000.00 3640.00 1518.2564  1044.5426 34.6836 1.5188
-50000.00 3650.00 1518.4342  1044.5873 34.6836 1.5181
-50000.00 3660.00 1518.6120  1044.6320 34.6836 1.5175
-50000.00 3670.00 1518.7897  1044.6768 34.6836 1.5168
-50000.00 3680.00 1518.9675  1044.7215 34.6837 1.5161
-50000.00 3690.00 1519.1453  1044.7662 34.6837 1.5154
-50000.00 3700.00 1519.3231  1044.8109 34.6837 1.5147
-50000.00 3710.00 1519.5009  1044.8556 34.6837 1.5141
-50000.00 3720.00 1519.6787  1044.9004 34.6838 1.5134
-50000.00 3730.00 1519.8565  1044.9451 34.6838 1.5127
-50000.00 3740.00 1520.0343  1044.9898 34.6838 1.5120
-50000.00 3750.00 1520.2121  1045.0345 34.6839 1.5114
-50000.00 3760.00 1520.3899  1045.0793 34.6839 1.5107
-50000.00 3770.00 1520.5676  1045.1240 34.6839 1.5100
-50000.00 3780.00 1520.7454  1045.1687 34.6839 1.5093
-50000.00 3790.00 1520.9232  1045.2134 34.6840 1.5086
-50000.00 3800.00 1521.1010  1045.2581 34.6840 1.5080
-50000.00 3810.00 1521.2788  1045.3029 34.6840 1.5073
-50000.00 3820.00 1521.4566  1045.3476 34.6840 1.5066
-50000.00 3830.00 1521.6344  1045.3923 34.6841 1.5059
-50000.00 3840.00 1521.8122  1045.4370 34.6841 1.5052
-50000.00 3850.00 1521.9900  1045.4817 34.6841 1.5046
-50000.00 3860.00 1522.1677  1045.5265 34.6841 1.5039
-50000.00 3870.00 1522.3455  1045.5712 34.6842 1.5032
-50000.00 3880.00 1522.5233  1045.6159 34.6842 1.5025
-50000.00 3890.00 1522.7011  1045.6606 34.6842 1.5019
-50000.00 3900.00 1522.8789  1045.7054 34.6842 1.5012
-50000.00 3910.00 1523.0567  1045.7501 34.6843 1.5005
-50000.00 3920.00 1523.2382  1045.7945 34.6843 1.5004
-50000.00 3930.00 1523.4203  1045.8388 34.6843 1.5004
-50000.00 3940.00 1523.6023  1045.8831 34.6843 1.5004
-50000.00 3950.00 1523.7844  1045.9274 34.6843 1.5004
-50000.00 3960.00 1523.9665  1045.9718 34.6843 1.5004
-50000.00 3970.00 1524.1485  1046.0161 34.6843 1.5004
-50000.00 3980.00 1524.3306  1046.0604 34.6843 1.5004
-50000.00 3990.00 1524.5126  1046.1047 34.6843 1.5004
-50000.00 4000.00 1524.6947  1046.1491 34.6843 1.5004
-50000.00 4010.00 1524.8768  1046.1934 34.6843 1.5004
-50000.00 4020.00 1525.0588  1046.2377 34.6843 1.5004
-50000.00 4030.00 1525.2409  1046.2820 34.6843 1.5004
-50000.00 4040.00 1525.4229  1046.3264 34.6843 1.5004
-50000.00 4050.00 1525.6050  1046.3707 34.6843 1.5004
-50000.00 4060.00 1525.7871  1046.4150 34.6843 1.5004
-50000.00 4070.00 1525.9691  1046.4593 34.6843 1.5004
-50000.00 4080.00 1526.1512  1046.5037 34.6843 1.5004
-50000.00 4090.00 1526.3332  1046.5480 34.6843 1.5004
-50000.00 4100.00 1526.5153  1046.5923 34.6843 1.5004
-50000.00 4110.00 1526.6974  1046.6366 34.6843 1.5004
-50000.00 4120.00 1526.8794  1046.6810 34.6843 1.5004
-50000.00 4130.00 1527.0615  1046.7253 34.6843 1.5004
-50000.00 4140.00 1527.2435  1046.7696 34.6843 1.5004
-50000.00 4150.00 1527.4256  1046.8139 34.6843 1.5004
-50000.00 4160.00 1527.6076  1046.8583 34.6843 1.5004
-50000.00 4170.00 1527.7897  1046.9026 34.6843 1.5004
