-50000.00 0.00 55559.75 7990.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
-50000.00 1490.00 1486.4492  1034.5231 34.6025 2.9091
-50000.00 1500.00 1486.5183  1034.5731 34.6036 2.8852
-50000.00 1510.00 1486.5874  1034.6230 34.6047 2.8613
-50000.00 1520.00 1486.6609  1034.6728 34.6058 2.8384
-50000.00 1530.00 1486.7451  1034.7222 34.6068 2.8181
-50000.00 1540.00 1486.8292  1034.7716 34.6078 2.7977
-50000.00 1550.00 1486.9133  1034.8210 34.6088 2.7773
-50000.00 1560.00 1486.9974  1034.8704 34.6098 2.7570
-50000.00 1570.00 1487.0816  1034.9198 34.6108 2.7366
-50000.00 1580.00 1487.1657  1034.9692 34.6118 2.7162
-50000.00 1590.00 1487.2498  1035.0185 34.6127 2.6959
-50000.00 1600.00 1487.3340  1035.0679 34.6137 2.6755
-50000.00 1610.00 1487.4181  1035.1173 34.6147 2.6551
-50000.00 1620.00 1487.5022  1035.1667 34.6157 2.6348
-50000.00 1630.00 1487.5863  1035.2161 34.6167 2.6144
-50000.00 1640.00 1487.6793  1035.2651 34.6176 2.5961
-50000.00 1650.00 1487.7785  1035.3139 34.6185 2.5792
-50000.00 1660.00 1487.8778  1035.3627 34.6193 2.5623
-50000.00 1670.00 1487.9770  1035.4115 34.6202 2.5455
-50000.00 1680.00 1488.0763  1035.4603 34.6210 2.5286
-50000.00 1690.00 1488.1756  1035.5091 34.6219 2.5117
-50000.00 1700.00 1488.2748  1035.5579 34.6227 2.4948
-50000.00 1710.00 1488.3741  1035.6066 34.6235 2.4780
-50000.00 1720.00 1488.4733  1035.6554 34.6244 2.4611
-50000.00 1730.00 1488.5726  1035.7042 34.6252 2.4442
-50000.00 1740.00 1488.6718  1035.7530 34.6261 2.4274
-50000.00 1750.00 1488.7711  1035.8018 34.6269 2.4105
-50000.00 1760.00 1488.8703  1035.8506 34.6278 2.3936
-50000.00 1770.00 1488.9764  1035.8991 34.6285 2.3783
-50000.00 1780.00 1489.0898  1035.9473 34.6292 2.3647
-50000.00 1790.00 1489.2031  1035.9955 34.6299 2.3510
-50000.00 1800.00 1489.3165  1036.0437 34.6306 2.3373
-50000.00 1810.00 1489.4298  1036.0919 34.6313 2.3237
-50000.00 1820.00 1489.5432  1036.1401 34.6320 2.3100
-50000.00 1830.00 1489.6565  1036.1883 34.6327 2.2963
-50000.00 1840.00 1489.7699  1036.2365 34.6334 2.2827
-50000.00 1850.00 1489.8832  1036.2847 34.6341 2.2690
-50000.00 1860.00 1489.9966  1036.3329 34.6347 2.2553
-50000.00 1870.00 1490.1099  1036.3811 34.6354 2.2417
-50000.00 1880.00 1490.2232  1036.4293 34.6361 2.2280
-50000.00 1890.00 1490.3366  1036.4775 34.6368 2.2143
-50000.00 1900.00 1490.4499  1036.5258 34.6375 2.2007
-50000.00 1910.00 1490.5633  1036.5740 34.6382 2.1870
-50000.00 1920.00 1490.6838  1036.6219 34.6388 2.1749
-50000.00 1930.00 1490.8094  1036.6695 34.6394 2.1640
-50000.00 1940.00 1490.9350  1036.7172 34.6399 2.1531
-50000.00 1950.00 1491.0606  1036.7649 34.6405 2.1421
-50000.00 1960.00 1491.1862  1036.8126 34.6410 2.1312
-50000.00 1970.00 1491.3118  1036.8603 34.6415 2.1202
-50000.00 1980.00 1491.4375  1036.9079 34.6421 2.1093
-50000.00 1990.00 1491.5631  1036.9556 34.6426 2.0984
-50000.00 2000.00 1491.6887  1037.0033 34.6432 2.0874
-50000.00 2010.00 1491.8143  1037.0510 34.6437 2.0765
-50000.00 2020.00 1491.9399  1037.0986 34.6443 2.0655
-50000.00 2030.00 1492.0655  1037.1463 34.6448 2.0546
-50000.00 2040.00 1492.1911  1037.1940 34.6454 2.0437
-50000.00 2050.00 1492.3167  1037.2417 34.6459 2.0327
-50000.00 2060.00 1492.4423  1037.2894 34.6465 2.0218
-50000.00 2070.00 1492.5679  1037.3370 34.6470 2.0108
-50000.00 2080.00 1492.6935  1037.3847 34.6476 1.9999
-50000.00 2090.00 1492.8253  1037.4321 34.6481 1.9903
-50000.00 2100.00 1492.9611  1037.4793 34.6485 1.9815
-50000.00 2110.00 1493.0970  1037.5266 34.6489 1.9728
-50000.00 2120.00 1493.2328  1037.5738 34.6494 1.9641
-50000.00 2130.00 1493.3687  1037.6210 34.6498 1.9553
-50000.00 2140.00 1493.5045  1037.6682 34.6502 1.9466
-50000.00 2150.00 1493.6404  1037.7154 34.6506 1.9379
-50000.00 2160.00 1493.7762  1037.7626 34.6511 1.9291
-50000.00 2170.00 1493.9121  1037.8098 34.6515 1.9204
-50000.00 2180.00 1494.0479  1037.8571 34.6519 1.9117
-50000.00 2190.00 1494.1838  1037.9043 34.6524 1.9029
-50000.00 2200.00 1494.3196  1037.9515 34.6528 1.8942
-50000.00 2210.00 1494.4555  1037.9987 34.6532 1.8855
-50000.00 2220.00 1494.5913  1038.0459 34.6537 1.8767
-50000.00 2230.00 1494.7272  1038.0931 34.6541 1.8680
-50000.00 2240.00 1494.8630  1038.1404 34.6545 1.8593
-50000.00 2250.00 1494.9989  1038.1876 34.6550 1.8505
-50000.00 2260.00 1495.1347  1038.2348 34.6554 1.8418
-50000.00 2270.00 1495.2706  1038.2820 34.6558 1.8331
-50000.00 2280.00 1495.4096  1038.3291 34.6562 1.8250
-50000.00 2290.00 1495.5538  1038.3759 34.6566 1.8180
-50000.00 2300.00 1495.6981  1038.4227 34.6569 1.8110
-50000.00 2310.00 1495.8423  1038.4695 34.6572 1.8040
-50000.00 2320.00 1495.9866  1038.5163 34.6576 1.7970
-50000.00 2330.00 1496.1308  1038.5631 34.6579 1.7900
-50000.00 2340.00 1496.2750  1038.6099 34.6583 1.7830
-50000.00 2350.00 1496.4193  1038.6567 34.6586 1.7761
-50000.00 2360.00 1496.5635  1038.7035 34.6589 1.7691
-50000.00 2370.00 1496.7077  1038.7503 34.6593 1.7621
-50000.00 2380.00 1496.8520  1038.7971 34.6596 1.7551
-50000.00 2390.00 1496.9962  1038.8439 34.6600 1.7481
-50000.00 2400.00 1497.1405  1038.8907 34.6603 1.7411
-50000.00 2410.00 1497.2847  1038.9375 34.6606 1.7341
-50000.00 2420.00 1497.4289  1038.9843 34.6610 1.7271
-50000.00 2430.00 1497.5732  1039.0311 34.6613 1.7201
-50000.00 2440.00 1497.7174  1039.0779 34.6617 1.7131
-50000.00 2450.00 1497.8617  1039.1247 34.6620 1.7061
-50000.00 2460.00 1498.0059  1039.1715 34.6623 1.6991
-50000.00 2470.00 1498.1501  1039.2184 34.6627 1.6921
-50000.00 2480.00 1498.2944  1039.2652 34.6630 1.6852
-50000.00 2490.00 1498.4386  1039.3120 34.6634 1.6782
-50000.00 2500.00 1498.5888  1039.3584 34.6636 1.6723
-50000.00 2510.00 1498.7398  1039.4049 34.6639 1.6667
-50000.00 2520.00 1498.8909  1039.4513 34.6642 1.6610
