-50000.00 0.00 55559.75 2050.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
-50000.00 1410.00 1484.8865  1034.1258 34.5516 2.8726
-50000.00 1420.00 1484.9856  1034.1757 34.5536 2.8554
-50000.00 1430.00 1485.0847  1034.2256 34.5556 2.8382
-50000.00 1440.00 1485.1838  1034.2754 34.5575 2.8210
-50000.00 1450.00 1485.2830  1034.3253 34.5595 2.8038
-50000.00 1460.00 1485.3821  1034.3752 34.5615 2.7865
-50000.00 1470.00 1485.4812  1034.4251 34.5635 2.7693
-50000.00 1480.00 1485.5803  1034.4750 34.5655 2.7521
-50000.00 1490.00 1485.6795  1034.5248 34.5675 2.7349
-50000.00 1500.00 1485.7786  1034.5747 34.5694 2.7176
-50000.00 1510.00 1485.8777  1034.6246 34.5714 2.7004
-50000.00 1520.00 1485.9782  1034.6743 34.5733 2.6835
-50000.00 1530.00 1486.0822  1034.7238 34.5750 2.6675
-50000.00 1540.00 1486.1861  1034.7733 34.5767 2.6515
-50000.00 1550.00 1486.2901  1034.8227 34.5784 2.6354
-50000.00 1560.00 1486.3940  1034.8722 34.5801 2.6194
-50000.00 1570.00 1486.4980  1034.9217 34.5819 2.6033
-50000.00 1580.00 1486.6019  1034.9711 34.5836 2.5873
-50000.00 1590.00 1486.7059  1035.0206 34.5853 2.5712
-50000.00 1600.00 1486.8098  1035.0700 34.5870 2.5552
-50000.00 1610.00 1486.9138  1035.1195 34.5887 2.5391
-50000.00 1620.00 1487.0177  1035.1690 34.5904 2.5231
-50000.00 1630.00 1487.1217  1035.2184 34.5921 2.5070
-50000.00 1640.00 1487.2298  1035.2676 34.5936 2.4920
-50000.00 1650.00 1487.3409  1035.3166 34.5950 2.4776
-50000.00 1660.00 1487.4521  1035.3656 34.5965 2.4632
-50000.00 1670.00 1487.5632  1035.4146 34.5979 2.4489
-50000.00 1680.00 1487.6743  1035.4636 34.5993 2.4345
-50000.00 1690.00 1487.7854  1035.5126 34.6008 2.4201
-50000.00 1700.00 1487.8966  1035.5616 34.6022 2.4058
-50000.00 1710.00 1488.0077  1035.6106 34.6036 2.3914
-50000.00 1720.00 1488.1188  1035.6596 34.6051 2.3770
-50000.00 1730.00 1488.2300  1035.7086 34.6065 2.3626
-50000.00 1740.00 1488.3411  1035.7576 34.6079 2.3483
-50000.00 1750.00 1488.4522  1035.8066 34.6094 2.3339
-50000.00 1760.00 1488.5633  1035.8556 34.6108 2.3195
-50000.00 1770.00 1488.6791  1035.9043 34.6121 2.3062
-50000.00 1780.00 1488.7997  1035.9528 34.6133 2.2940
-50000.00 1790.00 1488.9202  1036.0013 34.6144 2.2818
-50000.00 1800.00 1489.0408  1036.0497 34.6156 2.2696
-50000.00 1810.00 1489.1614  1036.0982 34.6168 2.2574
-50000.00 1820.00 1489.2820  1036.1467 34.6179 2.2451
-50000.00 1830.00 1489.4026  1036.1951 34.6191 2.2329
-50000.00 1840.00 1489.5231  1036.2436 34.6203 2.2207
-50000.00 1850.00 1489.6437  1036.2920 34.6214 2.2085
-50000.00 1860.00 1489.7643  1036.3405 34.6226 2.1963
-50000.00 1870.00 1489.8849  1036.3890 34.6238 2.1841
-50000.00 1880.00 1490.0055  1036.4374 34.6249 2.1719
-50000.00 1890.00 1490.1260  1036.4859 34.6261 2.1597
-50000.00 1900.00 1490.2466  1036.5344 34.6272 2.1474
-50000.00 1910.00 1490.3672  1036.5828 34.6284 2.1352
-50000.00 1920.00 1490.4940  1036.6309 34.6294 2.1244
-50000.00 1930.00 1490.6253  1036.6788 34.6304 2.1146
