-50000.00 0.00 55559.75 1140.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
-44973.35 560.00 1486.1984  1029.4222 34.2272 6.7938
-44973.35 570.00 1485.9446  1029.4913 34.2364 6.6840
-44973.35 580.00 1485.6907  1029.5604 34.2457 6.5742
-44973.35 590.00 1485.4369  1029.6295 34.2549 6.4644
-44973.35 600.00 1485.1830  1029.6987 34.2642 6.3546
-44973.35 610.00 1484.9292  1029.7678 34.2734 6.2447
-44973.35 620.00 1484.6753  1029.8369 34.2827 6.1349
-44973.35 630.00 1484.4215  1029.9060 34.2919 6.0251
-44973.35 640.00 1484.2486  1029.9720 34.3013 5.9364
-44973.35 650.00 1484.1484  1030.0352 34.3107 5.8666
-44973.35 660.00 1484.0482  1030.0984 34.3202 5.7969
-44973.35 670.00 1483.9480  1030.1616 34.3296 5.7272
-44973.35 680.00 1483.8479  1030.2247 34.3391 5.6574
-44973.35 690.00 1483.7477  1030.2879 34.3485 5.5877
-44973.35 700.00 1483.6475  1030.3511 34.3580 5.5179
-44973.35 710.00 1483.5473  1030.4143 34.3674 5.4482
-44973.35 720.00 1483.4472  1030.4775 34.3769 5.3784
-44973.35 730.00 1483.3939  1030.5372 34.3844 5.3215
-44973.35 740.00 1483.3554  1030.5959 34.3913 5.2685
-44973.35 750.00 1483.3169  1030.6546 34.3982 5.2156
-44973.35 760.00 1483.2783  1030.7133 34.4051 5.1627
-44973.35 770.00 1483.2398  1030.7720 34.4120 5.1098
-44973.35 780.00 1483.2013  1030.8307 34.4189 5.0568
-44973.35 790.00 1483.1628  1030.8894 34.4258 5.0039
-44973.35 800.00 1483.1243  1030.9481 34.4327 4.9510
-44973.35 810.00 1483.0858  1031.0068 34.4396 4.8981
-44973.35 820.00 1483.0627  1031.0637 34.4451 4.8496
-44973.35 830.00 1483.0519  1031.1192 34.4494 4.8048
-44973.35 840.00 1483.0412  1031.1746 34.4536 4.7600
-44973.35 850.00 1483.0305  1031.2300 34.4579 4.7152
-44973.35 860.00 1483.0197  1031.2855 34.4622 4.6704
-44973.35 870.00 1483.0090  1031.3409 34.4665 4.6255
-44973.35 880.00 1482.9982  1031.3964 34.4708 4.5807
-44973.35 890.00 1482.9875  1031.4518 34.4751 4.5359
-44973.35 900.00 1482.9767  1031.5073 34.4794 4.4911
-44973.35 910.00 1482.9665  1031.5627 34.4836 4.4464
-44973.35 920.00 1482.9764  1031.6160 34.4863 4.4074
-44973.35 930.00 1482.9862  1031.6694 34.4890 4.3684
-44973.35 940.00 1482.9961  1031.7228 34.4918 4.3294
-44973.35 950.00 1483.0060  1031.7762 34.4945 4.2904
-44973.35 960.00 1483.0158  1031.8295 34.4972 4.2515
-44973.35 970.00 1483.0257  1031.8829 34.4999 4.2125
-44973.35 980.00 1483.0356  1031.9363 34.5026 4.1735
-44973.35 990.00 1483.0454  1031.9897 34.5053 4.1345
-44973.35 1000.00 1483.0553  1032.0430 34.5081 4.0955
-44973.35 1010.00 1483.0700  1032.0961 34.5106 4.0578
-44973.35 1020.00 1483.0969  1032.1482 34.5125 4.0234
-44973.35 1030.00 1483.1239  1032.2003 34.5145 3.9890
-44973.35 1040.00 1483.1508  1032.2525 34.5165 3.9545
-44973.35 1050.00 1483.1777  1032.3046 34.5184 3.9201
-44973.35 1060.00 1483.2047  1032.3567 34.5204 3.8857
-44973.35 1070.00 1483.2316  1032.4089 34.5223 3.8513
-44973.35 1080.00 1483.2585  1032.4610 34.5243 3.8169
-44973.35 1090.00 1483.2855  1032.5131 34.5263 3.7824
-44973.35 1100.00 1483.3124  1032.5652 34.5282 3.7480
-44973.35 1110.00 1483.3451  1032.6170 34.5300 3.7151
-44973.35 1120.00 1483.3861  1032.6684 34.5316 3.6843
-44973.35 1130.00 1483.4271  1032.7197 34.5332 3.6535
-44973.35 1140.00 1483.4681  1032.7710 34.5348 3.6227
-39946.69 0.00 1541.2040  1022.4173 35.0219 27.9843
-39946.69 10.00 1541.3460  1022.4659 35.0232 27.9704
-39946.69 20.00 1541.4512  1022.5226 35.0274 27.9383
-39946.69 30.00 1541.4445  1022.6046 35.0408 27.8503
-39946.69 40.00 1541.2865  1022.7166 35.0628 27.6895
-39946.69 50.00 1541.0207  1022.8449 35.0856 27.4802
-39946.69 60.00 1540.7128  1022.9759 35.1055 27.2548
-39946.69 70.00 1540.3781  1023.1085 35.1239 27.0198
-39946.69 80.00 1539.9920  1023.2480 35.1430 26.7634
-39946.69 90.00 1539.5124  1023.4011 35.1640 26.4671
-39946.69 100.00 1538.8736  1023.5759 35.1865 26.1039
-39946.69 110.00 1537.9901  1023.7781 35.2060 25.6416
-39946.69 120.00 1536.8195  1024.0044 35.2150 25.0701
-39946.69 130.00 1535.3994  1024.2439 35.2099 24.4119
-39946.69 140.00 1533.8044  1024.4868 35.1918 23.6998
-39946.69 150.00 1532.0994  1024.7182 35.1589 22.9709
-39946.69 160.00 1530.4005  1024.9364 35.1203 22.2604
-39946.69 170.00 1528.7065  1025.1439 35.0772 21.5649
-39946.69 180.00 1527.0709  1025.3310 35.0302 20.9127
-39946.69 190.00 1525.4537  1025.5118 34.9821 20.2742
-39946.69 200.00 1523.8871  1025.6798 34.9338 19.6680
-39946.69 210.00 1522.3658  1025.8365 34.8854 19.0907
-39946.69 220.00 1520.8446  1025.9932 34.8369 18.5135
-39946.69 230.00 1519.3784  1026.1362 34.7906 17.9739
