-50000.00 0.00 55559.75 3190.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
-50000.00 1750.00 1488.0924  1035.8183 34.6131 2.2555
-50000.00 1760.00 1488.2081  1035.8667 34.6141 2.2424
-50000.00 1770.00 1488.3317  1035.9148 34.6149 2.2311
-50000.00 1780.00 1488.4634  1035.9625 34.6156 2.2216
-50000.00 1790.00 1488.5952  1036.0101 34.6162 2.2122
-50000.00 1800.00 1488.7269  1036.0578 34.6169 2.2027
-50000.00 1810.00 1488.8587  1036.1055 34.6176 2.1932
-50000.00 1820.00 1488.9904  1036.1532 34.6183 2.1837
-50000.00 1830.00 1489.1222  1036.2008 34.6189 2.1743
-50000.00 1840.00 1489.2540  1036.2485 34.6196 2.1648
-50000.00 1850.00 1489.3857  1036.2962 34.6203 2.1553
-50000.00 1860.00 1489.5175  1036.3438 34.6210 2.1459
-50000.00 1870.00 1489.6492  1036.3915 34.6216 2.1364
-50000.00 1880.00 1489.7810  1036.4392 34.6223 2.1269
-50000.00 1890.00 1489.9127  1036.4868 34.6230 2.1174
-50000.00 1900.00 1490.0445  1036.5345 34.6237 2.1080
-50000.00 1910.00 1490.1763  1036.5822 34.6243 2.0985
-50000.00 1920.00 1490.3184  1036.6294 34.6248 2.0913
-50000.00 1930.00 1490.4680  1036.6762 34.6252 2.0859
-50000.00 1940.00 1490.6176  1036.7230 34.6256 2.0804
-50000.00 1950.00 1490.7672  1036.7698 34.6260 2.0749
-50000.00 1960.00 1490.9168  1036.8167 34.6263 2.0694
-50000.00 1970.00 1491.0663  1036.8635 34.6267 2.0639
-50000.00 1980.00 1491.2159  1036.9103 34.6271 2.0584
-50000.00 1990.00 1491.3655  1036.9571 34.6274 2.0529
-50000.00 2000.00 1491.5151  1037.0039 34.6278 2.0474
-50000.00 2010.00 1491.6647  1037.0508 34.6282 2.0420
-50000.00 2020.00 1491.8142  1037.0976 34.6285 2.0365
-50000.00 2030.00 1491.9638  1037.1444 34.6289 2.0310
-50000.00 2040.00 1492.1134  1037.1912 34.6293 2.0255
-50000.00 2050.00 1492.2630  1037.2381 34.6296 2.0200
-50000.00 2060.00 1492.4126  1037.2849 34.6300 2.0145
-50000.00 2070.00 1492.5621  1037.3317 34.6304 2.0090
-50000.00 2080.00 1492.7117  1037.3785 34.6307 2.0036
-50000.00 2090.00 1492.8672  1037.4250 34.6310 1.9993
-50000.00 2100.00 1493.0266  1037.4713 34.6312 1.9959
-50000.00 2110.00 1493.1860  1037.5176 34.6314 1.9926
-50000.00 2120.00 1493.3455  1037.5639 34.6316 1.9892
-50000.00 2130.00 1493.5049  1037.6102 34.6319 1.9858
-50000.00 2140.00 1493.6644  1037.6565 34.6321 1.9824
-50000.00 2150.00 1493.8238  1037.7028 34.6323 1.9790
-50000.00 2160.00 1493.9832  1037.7491 34.6325 1.9756
-50000.00 2170.00 1494.1427  1037.7954 34.6327 1.9723
