-50000.00 0.00 55559.75 7990.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
-50000.00 1720.00 1488.1718  1035.6580 34.6172 2.3937
-50000.00 1730.00 1488.2686  1035.7071 34.6183 2.3762
-50000.00 1740.00 1488.3653  1035.7561 34.6193 2.3587
-50000.00 1750.00 1488.4621  1035.8052 34.6204 2.3412
-50000.00 1760.00 1488.5589  1035.8542 34.6215 2.3237
-50000.00 1770.00 1488.6639  1035.9030 34.6225 2.3081
-50000.00 1780.00 1488.7775  1035.9514 34.6234 2.2945
-50000.00 1790.00 1488.8912  1035.9998 34.6243 2.2808
-50000.00 1800.00 1489.0048  1036.0482 34.6253 2.2672
-50000.00 1810.00 1489.1185  1036.0966 34.6262 2.2535
-50000.00 1820.00 1489.2321  1036.1450 34.6271 2.2399
-50000.00 1830.00 1489.3458  1036.1934 34.6280 2.2262
-50000.00 1840.00 1489.4594  1036.2418 34.6290 2.2125
-50000.00 1850.00 1489.5731  1036.2902 34.6299 2.1989
-50000.00 1860.00 1489.6867  1036.3386 34.6308 2.1852
-50000.00 1870.00 1489.8003  1036.3870 34.6317 2.1716
-50000.00 1880.00 1489.9140  1036.4354 34.6327 2.1579
-50000.00 1890.00 1490.0276  1036.4838 34.6336 2.1443
-50000.00 1900.00 1490.1413  1036.5322 34.6345 2.1306
-50000.00 1910.00 1490.2549  1036.5806 34.6354 2.1170
-50000.00 1920.00 1490.3781  1036.6286 34.6363 2.1054
-50000.00 1930.00 1490.5081  1036.6763 34.6370 2.0954
-50000.00 1940.00 1490.6381  1036.7241 34.6377 2.0854
-50000.00 1950.00 1490.7681  1036.7718 34.6384 2.0754
-50000.00 1960.00 1490.8980  1036.8195 34.6392 2.0654
-50000.00 1970.00 1491.0280  1036.8672 34.6399 2.0554
-50000.00 1980.00 1491.1580  1036.9149 34.6406 2.0454
-50000.00 1990.00 1491.2880  1036.9626 34.6414 2.0354
-50000.00 2000.00 1491.4179  1037.0103 34.6421 2.0254
-50000.00 2010.00 1491.5479  1037.0581 34.6428 2.0154
-50000.00 2020.00 1491.6779  1037.1058 34.6436 2.0054
-50000.00 2030.00 1491.8079  1037.1535 34.6443 1.9954
-50000.00 2040.00 1491.9378  1037.2012 34.6450 1.9854
-50000.00 2050.00 1492.0678  1037.2489 34.6457 1.9754
-50000.00 2060.00 1492.1978  1037.2966 34.6465 1.9654
-50000.00 2070.00 1492.3278  1037.3443 34.6472 1.9553
-50000.00 2080.00 1492.4577  1037.3921 34.6479 1.9453
-50000.00 2090.00 1492.5955  1037.4394 34.6485 1.9370
-50000.00 2100.00 1492.7387  1037.4865 34.6491 1.9299
-50000.00 2110.00 1492.8818  1037.5336 34.6496 1.9228
-50000.00 2120.00 1493.0249  1037.5807 34.6502 1.9156
-50000.00 2130.00 1493.1680  1037.6278 34.6507 1.9085
-50000.00 2140.00 1493.3111  1037.6749 34.6513 1.9013
-50000.00 2150.00 1493.4542  1037.7221 34.6518 1.8942
-50000.00 2160.00 1493.5973  1037.7692 34.6524 1.8871
-50000.00 2170.00 1493.7405  1037.8163 34.6529 1.8799
-50000.00 2180.00 1493.8836  1037.8634 34.6534 1.8728
-50000.00 2190.00 1494.0267  1037.9105 34.6540 1.8656
-50000.00 2200.00 1494.1698  1037.9576 34.6545 1.8585
-50000.00 2210.00 1494.3129  1038.0047 34.6551 1.8513
-50000.00 2220.00 1494.4560  1038.0518 34.6556 1.8442
-50000.00 2230.00 1494.5991  1038.0989 34.6562 1.8371
-50000.00 2240.00 1494.7422  1038.1460 34.6567 1.8299
-50000.00 2250.00 1494.8854  1038.1931 34.6572 1.8228
-50000.00 2260.00 1495.0285  1038.2402 34.6578 1.8156
-50000.00 2270.00 1495.1716  1038.2873 34.6583 1.8085
-50000.00 2280.00 1495.3180  1038.3343 34.6588 1.8021
-50000.00 2290.00 1495.4700  1038.3809 34.6592 1.7967
-50000.00 2300.00 1495.6219  1038.4275 34.6596 1.7914
-50000.00 2310.00 1495.7738  1038.4742 34.6600 1.7861
-50000.00 2320.00 1495.9257  1038.5208 34.6604 1.7808
-50000.00 2330.00 1496.0776  1038.5674 34.6608 1.7755
-50000.00 2340.00 1496.2296  1038.6141 34.6612 1.7702
-50000.00 2350.00 1496.3815  1038.6607 34.6616 1.7649
-50000.00 2360.00 1496.5334  1038.7074 34.6620 1.7596
-50000.00 2370.00 1496.6853  1038.7540 34.6625 1.7543
-50000.00 2380.00 1496.8373  1038.8006 34.6629 1.7490
-50000.00 2390.00 1496.9892  1038.8473 34.6633 1.7437
-50000.00 2400.00 1497.1411  1038.8939 34.6637 1.7384
-50000.00 2410.00 1497.2930  1038.9405 34.6641 1.7331
-50000.00 2420.00 1497.4450  1038.9872 34.6645 1.7278
-50000.00 2430.00 1497.5969  1039.0338 34.6649 1.7225
-50000.00 2440.00 1497.7488  1039.0804 34.6653 1.7172
-50000.00 2450.00 1497.9007  1039.1271 34.6657 1.7119
-50000.00 2460.00 1498.0527  1039.1737 34.6661 1.7066
-50000.00 2470.00 1498.2046  1039.2204 34.6665 1.7012
-50000.00 2480.00 1498.3565  1039.2670 34.6669 1.6959
-50000.00 2490.00 1498.5084  1039.3136 34.6673 1.6906
